Drug_ID,Drug,Y,split,d3d_asphericity,d3d_eccentricity,d3d_inertial_shape_factor,d3d_npr1,d3d_npr2,d3d_pmi1,d3d_pmi2,d3d_pmi3,d3d_radius_of_gyration,d3d_spherocity_index
nefiracetam,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,1,train,0.376057089364088,0.9588909524507844,0.0012886098174326,0.283774807387879,0.8333110691978133,646.6744688148157,1898.9740420982112,2278.829733926681,3.12945820834265,0.2058082529417774
velnacrine,Nc1c2c(nc3ccccc13)CCCC2O,1,train,0.4043670093650718,0.9627670296786314,0.0016275100233556,0.2703324741198979,0.7492602518258517,460.37212740540366,1275.9789116581996,1702.9849221933257,2.8329808872407383,0.0830301356448555
tacrine,Nc1c2c(nc3ccccc13)CCCC2,1,train,0.4416578297525902,0.9693795957399348,0.002073749704579,0.2455670974765972,0.769930464864046,371.2745386600626,1164.0630242411385,1511.906694647663,2.7721149036366426,0.0814461981006696
ifoxetine,Cc1cccc(O[C@H]2CCNC[C@H]2O)c1C,1,train,0.5104100984382574,0.9789403819271744,0.0022354682995731,0.2041463412169754,0.915868764003052,409.69883767884926,1838.0460107271967,2006.887976715703,3.10045432917018,0.1858747093634419
amphenidone,Nc1cccc(-n2ccccc2=O)c1,1,train,0.4730265516820346,0.9743345083330758,0.0024969628377393,0.2251050107646282,0.8050895524174186,322.4275268535113,1153.1641716895008,1432.3427353229572,2.794287851826412,0.0550894489054122
ralitoline,Cc1cccc(Cl)c1NC(=O)/C=C1\SCC(=O)N1C,1,train,0.4731227058256697,0.974640793943113,0.0010774714210195,0.2237751612264829,0.8456136122816076,784.8130314969175,2965.693685091834,3507.14988739348,3.496766448585359,0.130922939580369
alfadolone,CC12CC(=O)[C@H]3C(CC[C@H]4C[C@H](O)CCC43C)[C@@H]1CCC2C(=O)CO,1,train,0.5486008845507261,0.9829907557964492,0.0010024781096036,0.1836550408203537,0.912114284736451,909.8595530401346,4518.775481058592,4954.176857743501,3.859683529964049,0.256913527339643
alfaxalone/renanolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,1,train,0.5686830368394558,0.984907041648409,0.0011304692844398,0.1730841393986732,0.8973223796132022,793.7609557059897,4115.105359119971,4585.983201370525,3.77871092973821,0.2184889030226212
glyburide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1,train,0.5784512316277524,0.985766575100067,0.0002908099034694,0.1681197769909416,0.8752118272262019,3009.5667884230334,15667.451475366504,17901.325128364824,6.084541109704925,0.0889801709342434
loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,0,train,0.3428105202951602,0.9509494201356804,0.00035870173201,0.3093464083250578,0.774108008251546,2158.082716561564,5400.383092872768,6976.265631291489,4.356632519727662,0.2128927029829351
loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,1,train,0.3428105202951602,0.9509494201356804,0.00035870173201,0.3093464083250578,0.774108008251546,2158.082716561564,5400.383092872768,6976.265631291489,4.356632519727662,0.2128927029829351
mikamycin,CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)CCN2C(=O)C(Cc2ccc(N(C)C)cc2)N(C)C(=O)C2CCCN2C1=O,0,train,0.3678746855228463,0.9569935114046078,0.0001000311479629,0.2901093227207269,0.8793875030173233,8791.136770151443,26647.939957549403,30302.84131411458,6.15748554823054,0.2928180562148162
