Drug_ID,Drug,Y,split,d3d_asphericity,d3d_eccentricity,d3d_inertial_shape_factor,d3d_npr1,d3d_npr2,d3d_pmi1,d3d_pmi2,d3d_pmi3,d3d_radius_of_gyration,d3d_spherocity_index
Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,1,train,0.2689808710025561,0.9308575917029352,0.0007080448775778,0.3653821889050035,0.8110457753448046,1145.472273055996,2542.6265320180028,3134.997566490056,3.3374846091596417,0.3686104276147422
Coumarin,O=c1ccc2ccccc2o1,0,train,0.4619982602576114,0.9721958905785784,0.0043129781209645,0.2341690635889477,0.7658309364227226,177.5642989469768,580.7096430829545,758.273942021082,2.277828828224393,2.0524156188734723e-11
Paromomycin,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,0,train,0.3954293220551776,0.9624767039005068,0.0002202934411018,0.2713643205154584,0.8744109324140477,3969.30080187722,12790.185565325895,14627.202258342237,5.048896328604053,0.2555038261490793
Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1,train,0.2403948643152531,0.9174836800224144,0.0004054138860622,0.3977734240651678,0.734671568408171,1812.151960417683,3346.972025803026,4555.739148930159,3.869577882365919,0.3507421329119922
Azlocillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0,train,0.4613562834931928,0.9730075235651388,0.0004101331562082,0.230773393365951,0.8817155535287159,2149.8275381592057,8213.842809831445,9315.751295254808,4.617483103311445,0.2176874460859026
Papaverine,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,1,train,0.2688337534844127,0.9308929590354252,0.0005057861477363,0.3652920733033641,0.837097076165563,1655.041522809666,3792.664886341549,4530.734838681275,3.8341243475375513,0.3457816185885241
Ritonavir,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,1,train,0.1814008680459202,0.891209467463281,7.913164246136963e-05,0.4535919808636556,0.7855309205718113,9926.887603214993,17191.39113200135,21885.05974976418,5.829638826698053,0.3554686180151755
Sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,1,train,0.2254366039672541,0.9127666385807504,0.0002704752197092,0.4084814114424271,0.8968872372787534,3315.968236361241,7280.746460193103,8117.794698789141,4.44034082724174,0.44380011408637
Cerivastatin,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,1,train,0.3325700358035089,0.9484592549727908,0.0002432520895621,0.3168991032749363,0.7725976204713144,3176.119152201721,7743.35450610439,10022.49334055759,4.773353216063754,0.1998377945648053
Pergolide,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,1,train,0.3021633650468632,0.9400725437868604,0.0005414236927187,0.3409745040587367,0.7622307554437654,1407.82674584521,3147.1234102438366,4128.83288658643,3.715613570647368,0.1869152164220465
