Drug_ID,Drug,Y,split,d3d_asphericity,d3d_eccentricity,d3d_inertial_shape_factor,d3d_npr1,d3d_npr2,d3d_pmi1,d3d_pmi2,d3d_pmi3,d3d_radius_of_gyration,d3d_spherocity_index
CHEMBL110861,Oc1nc2c(O)ccc(CCNCCOCCCOCCc3ccccc3)c2s1,150.0,train,0.6744838571973691,0.9923351571703932,0.0004996216533736,0.1235756280324352,0.9075042775182078,1816.3829997965688,13339.000320468422,14698.553660757583,5.986264303567609,0.0858480088201509
CHEMBL1956334,CC(=O)c1ncccc1NC(=O)[C@H]1CC[C@H](N2C(=O)[C@H]3[C@H]4CC[C@H](C4)[C@H]3C2=O)CC1,150.0,train,0.6447254277970182,0.990558087762818,0.0007497883131475,0.1370936715084591,0.9220657059721992,1229.768042264388,8271.183677523695,8970.27578832118,4.749122279250007,0.1506269791979224
CHEMBL2110732,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,9.77,train,0.5724781372181251,0.985228729645576,0.0003291598377008,0.1712435408445078,0.8573460976043935,2604.649776208663,13040.411978436818,15210.20742366996,5.7296061402004845,0.077561666658727
CHEMBL2110732,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,3.0,train,0.5724781372181251,0.985228729645576,0.0003291598377008,0.1712435408445078,0.8573460976043935,2604.649776208663,13040.411978436818,15210.20742366996,5.7296061402004845,0.077561666658727
CHEMBL1683035,COc1cc2nnc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1,16.0,train,0.1907444440506535,0.8876449617900122,0.0002142913319235,0.460528415853797,0.6877619773388769,3209.47175588176,4793.086734824371,6969.10688981386,4.179973537417727,0.2449505904969069
CHEMBL1807817,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCSCCCOCCc3ccccc3)c2s1,150.0,train,0.6516397789804874,0.990979333462858,0.0004541574084049,0.134014777728091,0.92623540782626,2039.4589864321656,14095.603172029649,15218.164899471922,5.911417743844647,0.114674632481468
CHEMBL1824041,N#Cc1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,8.51,train,0.6399828703640392,0.9902903788999772,0.0004229803067043,0.1390142635060865,0.8902244728761953,2104.647565775072,13477.816754755151,15139.795821620295,5.763031849542539,0.0961233100937319
CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,12.02,train,0.7105936341393166,0.9941465891119612,0.0009120476830464,0.1080396193859152,0.9216877249134438,1010.5696687203643,8621.186043819336,9353.695195006483,4.975822447910179,0.0708597971829406
CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,5.37,train,0.7105936341393166,0.9941465891119612,0.0009120476830464,0.1080396193859152,0.9216877249134438,1010.5696687203643,8621.186043819336,9353.695195006483,4.975822447910179,0.0708597971829406
CHEMBL1089773,CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3)cc2)CC1,14.45,train,0.3610882113019928,0.9547566468620408,0.0001712026373478,0.2973882063444216,0.7636334499205452,4460.407046001218,11453.433417742894,14998.60098969552,5.475097179566042,0.0892300487303117
