Drug_ID,Drug,Y,split,d3d_asphericity,d3d_eccentricity,d3d_inertial_shape_factor,d3d_npr1,d3d_npr2,d3d_pmi1,d3d_pmi2,d3d_pmi3,d3d_radius_of_gyration,d3d_spherocity_index
CHEMBL1204759,Cc1nn(-c2ccccc2)c(NC(=O)NS(=O)(=O)c2ccc(Cl)cc2)c1C#N,3.0,train,0.3705775064960468,0.9576828727306193,0.0004103136895293,0.287825494490027,0.8672293689105087,2113.5764929151887,6368.287879927317,7343.256707193543,4.361982350498636,0.1628528170761819
CHEMBL1807872,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCOCCNCCc3cccc(Cl)c3)c2s1,3.0,train,0.8383730834201689,0.9983619822830028,0.0007323499334057,0.0572132181576369,0.9659698166195496,1319.0003474532905,22269.583232323475,23054.11913413276,7.074284146205755,0.0818098989901972
CHEMBL945,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,3.0,train,0.3941259681023366,0.9598812732972049,0.0012233434310069,0.2804067423820919,0.721898018923427,590.1025015756982,1519.199657006753,2104.451899275675,3.029035306454948,0.0240212044141435
CHEMBL213029,COc1ccc2c(c1)c(CC(=O)O)c(C)n2-c1ccnc2cc(Cl)ccc12,3.0,train,0.2863049571930814,0.936483724384181,0.0003894270926836,0.3507110405498138,0.8140005515096084,2090.251466327212,4851.475002659482,5960.038962703597,4.115697305025686,0.2777997220562813
CHEMBL2216830,C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,87.1,train,0.2639086147309368,0.9260463024767036,9.793634424270404e-05,0.3774099172905047,0.7269889698270731,7423.076442647913,14298.76229732024,19668.472137509118,5.614084517839484,0.1296064948619442
CHEMBL2031235,Cc1ccc(NC(=O)c2ccno2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,3.0,train,0.7231992512055309,0.9946776676865808,0.0006820446401936,0.1030356123172179,0.947451855966544,1389.134669686017,12773.624491398825,13482.08292691326,5.576460353618306,0.0876435369174467
CHEMBL337962,CNC(=O)c1cccc(NC(=O)Nc2cccc(C#N)c2)c1CN1CCC(Cc2ccc(F)cc2)CC1,14.0,train,0.2780023922424419,0.9307085085734196,0.0001431969361931,0.3657617695564166,0.7233680191787438,5051.5607275492175,9990.485013455682,13811.068154212991,5.373713135753295,0.1924446201673561
CHEMBL345937,CC1Sc2c(C(=O)O)c(=O)c3cc(F)c(N4CCNCC4)cc3n21,13.8,train,0.4997248320047612,0.9778246253351184,0.0007557850919605,0.2094254093662838,0.8281785068089997,1095.7857142440555,4333.314564604968,5232.343666224058,3.9060666119679337,0.1259834353079916
CHEMBL1016,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,3.0,train,0.3644314436737281,0.9564139629505748,0.0003500426791827,0.2920142658727084,0.8153784923341161,2329.3687907938483,6504.193235393371,7976.900662138339,4.368377076838359,0.2098120595959789
CHEMBL1734492,NC(=O)NC(=O)C(Nc1ccc2c(c1)CCC2)c1ccccc1,27.54,train,0.3457230960908626,0.9522837987545923,0.0006632770690253,0.3052139686015748,0.8123777930614715,1224.7940280148846,3259.993223745488,4012.902927171482,3.7059286350096032,0.2164642196699725
CHEMBL1934415,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCCCC2)cc1,33.0,train,0.2541983421101288,0.9254854292176492,0.0003403872128221,0.3787832101688557,0.8596471774949968,2525.4978598273087,5731.608605361325,6667.396526634538,4.024873465303099,0.2748235973027824
CHEMBL1017,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,3.0,train,0.3062219667962432,0.9420881016336652,0.0001689406310644,0.3353654853443883,0.7959931605183801,4711.673891016649,11183.202672126235,14049.370304693728,5.393796680137808,0.2559117832661262
CHEMBL390191,Cc1nc(CSc2nc(N[C@H](C)CO)c3sc(N)nc3n2)cs1,3.0,train,0.4203545557601896,0.96666205540143,0.0004825675437264,0.2560556006946202,0.8049723433605364,1668.1029501993744,5244.082680269319,6514.612239194116,4.2682005864963415,0.1557980531258983
CHEMBL2207671,CS(=O)(=O)c1ccc2c(C(=O)NC[C@@H](O)CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)c[nH]c(=O)c2c1,6.0,train,0.8288807296028592,0.9981342304774612,0.0005386600504169,0.0610578246350643,0.9805334827782044,1820.3196654722876,29232.68871800211,29813.044869386184,7.316701878104578,0.1187073701494633
CHEMBL2207667,NC(=O)c1c(OC2CCN(C[C@H](O)CNC(=O)c3c[nH]c(=O)c4ccccc34)CC2)ccc(Cl)c1Cl,10.0,train,0.6517373124421847,0.9910209950429404,0.0003567803986723,0.1337063475834278,0.889499486615598,2493.1287983466373,16585.87513814311,18646.300967805717,5.946617308588829,0.0782668632806124
CHEMBL2207283,Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)c3c[nH]c(=O)c4ccc(S(C)(=O)=O)cc34)CC2)c1Cl,3.0,train,0.748495508940412,0.9956564768061076,0.0003519691694398,0.0931030622162815,0.9740700666009418,2767.4869027624213,28954.21576391077,29724.982582564848,7.2624646337642,0.1237947082404948
