Drug_ID,Drug,Y,split,d3d_asphericity,d3d_eccentricity,d3d_inertial_shape_factor,d3d_npr1,d3d_npr2,d3d_pmi1,d3d_pmi2,d3d_pmi3,d3d_radius_of_gyration,d3d_spherocity_index
nelfinavir,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,1,train,0.1168133556013322,0.8413173771032587,0.0001395572455301,0.5405414609297728,0.8885212134177726,6366.715035413967,10465.360712609883,11778.402760192952,5.019395286727776,0.6764584459532431
fluphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0,train,0.3312542294200924,0.9458426967880442,0.0002422099150783,0.3246253116020372,0.7165752144671742,2958.4883601297192,6530.54261448813,9113.54800255555,4.610703193343482,0.1155885353451969
trifluoperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0,train,0.1608089297042092,0.8630226298847776,0.0001942908420295,0.5051652603918467,0.6707525518167,3452.3117240628176,4583.939316780502,6834.024416851087,4.271476663471721,0.3056573137190842
perphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1,train,0.4451726269771583,0.9702467628063208,0.0003664106419199,0.2421181927568747,0.7878012547731879,2150.050147684389,6995.807233171846,8880.167670189832,4.7234094310779335,0.1104568326591652
oxiconazole,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,0,train,0.5241524339435605,0.98048935001096,0.0005342421166843,0.1965722119606048,0.9128853661439434,1708.748407575068,7935.462495633234,8692.72615153519,4.622234096639288,0.2590758938051607
timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0,train,0.4676703483209068,0.9738627598094244,0.0008551492047391,0.22713723837445,0.8312045911411726,971.999490305018,3557.014449548279,4279.3488961181065,3.730747298891317,0.1711561057632024
amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,1,train,0.2588189827101217,0.9261289486735312,0.000645716508622,0.3772070657196915,0.763461202573742,1182.3473496178497,2393.0525470854063,3134.478266895643,3.47760683243933,0.2755207401756768
nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,0,train,0.1787862241191004,0.8715958803085694,0.0004759068589859,0.4902250722159463,0.6479500786206583,1361.5060728507735,1799.5570135946753,2777.308118282094,3.3575615167746857,0.2568422756057516
galanthamine,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,0,train,0.1738507240962535,0.846377673256681,0.0003983219095147,0.5325831711691676,0.5883711002692803,1477.1246226101778,1631.852988392566,2773.5097587997006,3.1992862687205963,0.2278307220512397
sulfatroxazole,Cc1onc(NS(=O)(=O)c2ccc(N)cc2)c1C,0,train,0.5413278180256644,0.9821843497957408,0.001722790896401,0.187919937782871,0.9248568220275784,536.8363763470361,2642.0655031867327,2856.7292150091844,3.3599958644785684,0.1007488968250169
sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,1,train,0.2668555559865848,0.9296797287965086,0.0009499027612857,0.3683688394325045,0.785352586342814,826.771558469632,1762.6550138146958,2244.412311701842,3.0890722554328387,0.2604235781326831
sulfamoxol,Cc1onc(NS(=O)(=O)c2ccc(N)cc2)c1C,0,train,0.5413278180256644,0.9821843497957408,0.001722790896401,0.187919937782871,0.9248568220275784,536.8363763470361,2642.0655031867327,2856.7292150091844,3.3599958644785684,0.1007488968250169
tamsulosin,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,0,train,0.7231331868459112,0.9947053292790048,0.0007275756902123,0.1027682241937987,0.924653888497912,1270.8696853629947,11434.610314264042,12366.368061069224,5.539512085073375,0.0729126705585589
dofetilide,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,0,train,0.8534084673379342,0.9986679691665716,0.0009179090468478,0.0515973580788339,0.9709008471358356,1057.7309924877704,19903.18797096468,20499.712230841316,6.851737530683142,0.0481274121840775
pranidipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1,0,train,0.3441282239796422,0.9515775669000252,0.0003420396489652,0.3074087412105059,0.8880281059045507,2596.272416343912,7499.991272919993,8445.668806034531,4.546669442142061,0.28030134499362
cilnidipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1,0,train,0.3892063469562807,0.9604386825081608,0.0003105017140125,0.2784915387260238,0.9274114146344568,2986.815765523018,9946.467483456638,10724.978500913836,4.900732027380167,0.3134364314295464
sulfisoxazole,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0,train,0.3826325106623065,0.9601559707682118,0.0011707318238512,0.2794646879270311,0.8586892498047022,733.4636611995146,2253.656322972969,2624.5307292312496,3.2398336728538317,0.1823556479192045
pioglitazone,CCc1ccc(CCOc2ccc(C[C@@H]3SC(=O)NC3=O)cc2)nc1,0,train,0.7524704643696172,0.9958797600322976,0.0009633842968449,0.090683535209062,0.9310499085969032,966.4366667030218,9922.42713215956,10657.245160050235,5.497584914557032,0.0592927551049353
domperidone,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0,train,0.7765808377177751,0.9966265825662948,0.0009395916505893,0.0820698173644128,0.990434932804601,1054.1121051717876,12721.235230956529,12844.0898130824,5.5901108444219565,0.1660571356102902
cifenline,c1ccc(C2(c3ccccc3)C[C@H]2C2=NCCN2)cc1,0,train,0.20419746207712,0.903844005112662,0.0007769406432173,0.4278621441795269,0.7925804230922904,1020.1299546000988,1889.709201959245,2384.2491523906865,3.1763993057621613,0.4122313074497791
