Drug_ID,Drug,Y,split,d3d_asphericity,d3d_eccentricity,d3d_inertial_shape_factor,d3d_npr1,d3d_npr2,d3d_pmi1,d3d_pmi2,d3d_pmi3,d3d_radius_of_gyration,d3d_spherocity_index
Zileuton,C[C@H](c1cc2ccccc2s1)N(O)C(N)=O,1,train,0.5640862561551885,0.9842587590208178,0.0023479900346327,0.1767334017405868,0.9388958538578772,399.8721630029111,2124.3200901417104,2262.5726606555804,3.1825692822143155,0.1956892316459428
Risperidone.mol,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,1,train,0.7769647475800292,0.996718470887636,0.0009369137719315,0.0809462154236532,0.9495868354366984,1013.5263925932576,11889.76303261453,12520.985536985288,5.564887803483576,0.095771736971183
Alprazolam.mol,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1,train,0.1630003588742512,0.8649980464937599,0.0004035055310088,0.501775228127076,0.6715165516475101,1664.2065598668778,2227.177006091561,3316.6375432256546,3.4164421529255105,0.3932322863642936
Tilidine,CCCC(=O)[C@]1(c2ccccc2)CCC=C[C@@H]1N(C)C,1,train,0.1297177888013928,0.8496534199967424,0.0006144998846458,0.5273415078370366,0.7474819825434742,1216.4070347616523,1724.2002163889024,2306.6779623529205,3.109168187852726,0.4278012818156272
Zaleplon.mol,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,1,train,0.5879066307730174,0.9862007444363868,0.0012456892982467,0.1655538935607275,0.956162073211096,767.5766939291074,4433.164978669373,4636.415836680696,4.013536833476866,0.265401640887936
Terfenadine.mol,CC(C)(C)c1ccc([C@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1,train,0.7054707198355464,0.993861482673254,0.0004881138361308,0.1106316105754658,0.9481166979711276,1942.408978787924,16646.511584694257,17557.450069507355,6.190009536489509,0.1127622501597946
Ipratropium,CC(C)[N+]1(C)[C@@H]2CC[C@@H]1CC(OC(=O)[C@@H](CO)c1ccccc1)C2,0,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amobarbital.mol,CC[C@]1(CCC(C)C)C(=O)N=C(O)N=C1O,1,train,0.1817775827829696,0.8893858152059884,0.0012782506704408,0.4571573817739133,0.9147456389355066,715.6230464717844,1431.9205747957153,1565.375678054117,2.8643330273095478,0.3803859617100888
Chlorhexidine,N=C(NCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,0,train,0.9390393885214696,0.9997834123212288,0.0014505946887719,0.0208117382099642,0.9953141835097058,686.1421672185387,32814.511889724155,32968.998566877315,8.343603929807722,0.0617088003078575
Ramipril.mol,CCOC(=O)[C@@H](CCc1ccccc1)N[C@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,1,train,0.4657757014782528,0.9735747773945798,0.0004748875252546,0.2283684584637169,0.8883204643630214,1870.5912813497423,7276.33109607398,8191.11051470771,4.562133883650715,0.1822104909466883
Amygdalin,N#C[C@H](O[C@@H]1O[C@@H](CO[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O)c1ccccc1,0,train,0.4452380421216668,0.9707798340609846,0.0003557352023911,0.2399719020646523,0.844250261447229,2373.2547573935067,8349.398126079528,9889.71932536549,4.746633706345655,0.1694275667545423
Azimilide,CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,1,train,0.6342486059175348,0.9898988378624064,0.0003895884179263,0.141775494351658,0.9133904635961944,2344.5010723314363,15104.478606485927,16536.715904627123,6.0914174348861785,0.1167718741106694
Glipizide.mol,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,1,train,0.5974582515071909,0.9872959902502536,0.0003737336562172,0.1588918740394595,0.8813942806400965,2358.348695595725,13082.072727878403,14842.475172833872,5.82958879592112,0.0824655024036599
Floxacillin.mol,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@H]1SC(C)(C)[C@H]2C(=O)O,1,train,0.4435688884754165,0.9700272498037829,0.0004663775269547,0.2429961617764971,0.919319225351275,1971.191089232136,7457.541106509348,8112.025617281958,4.395812236569045,0.1975102042669818
Mibefradil.mol,CCC(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,1,train,0.509741250088758,0.9789941757206988,0.000313766777864,0.2038882142374829,0.8981103571039956,2862.350065287192,12608.410196272762,14038.820615463392,5.546369840779407,0.2472281778044694
