Drug_ID,Drug,Y,split,d3d_asphericity,d3d_eccentricity,d3d_inertial_shape_factor,d3d_npr1,d3d_npr2,d3d_pmi1,d3d_pmi2,d3d_pmi3,d3d_radius_of_gyration,d3d_spherocity_index
"Indazole, 3-((3-(2,6-dimethylpiperidino)propyl)amino)-",CC1CCCC(C)N1CCCNc1n[nH]c2ccccc12,2.612,train,0.7134685970336919,0.9941918343732994,0.0015983432456234,0.1076224719352516,0.963702938812068,602.9386625500177,5399.000325623873,5602.349134972114,4.500806160208403,0.1697158182222832
"Succinimide, 3-(m-isopropoxyphenyl)-",CC(C)Oc1cccc(C2CC(=O)NC2=O)c1,1.988,train,0.5100705505227883,0.978768858174838,0.0018577144541182,0.2049671248447516,0.9291916293492156,500.1800073683883,2267.5005875530583,2440.293816616884,3.341125361723278,0.2339787706396777
"2,5-Pyrrolidinedione, 3-(3-bromophenyl)- (9CI)",O=C1CC(c2cccc(Br)c2)C(=O)N1,2.162,train,0.3594217936374151,0.955378884105954,0.0013905168148134,0.295383120378369,0.8600201610071866,618.4895801656065,1800.757970306296,2093.855530313839,2.9801273582875423,0.3216151706530618
"2,5-Pyrrolidinedione, 1-amino-3-(3-bromophenyl)- (9CI)",NN1C(=O)CC(c2cccc(Br)c2)C1=O,2.226,train,0.3414241824870193,0.951314125611,0.0012057747741208,0.3082230270647841,0.8592298568238653,712.5956482630623,1986.4948529679036,2311.9481209730798,3.051361358744032,0.3623073204297011
"1,1':3',1''-Terphenyl",c1ccc(-c2cccc(-c3ccccc3)c2)cc1,1.982,train,0.5364884862086253,0.981888920318612,0.0016650488021064,0.1894575101587429,0.8912950195890414,535.2966342256575,2518.2808730482416,2825.417866925108,3.572565202034648,0.1866551370360197
"1,4-Dithiin, 2,3-dihydro-5,6-dimethyl-, 1,1,4,4-tetraoxide",CC1=C(C)S(=O)(=O)CCS1(=O)=O,2.262,train,0.1892479503949875,0.8955991020042099,0.0018531483016903,0.4448620555736944,0.7827257365728606,422.37619938938,743.1623300655522,949.4543175742048,2.242562729746227,0.2801630813991898
"Benzenepropanamide, N-(2-methoxyphenyl)-beta-oxo-",COc1ccccc1NC(=O)CC(=O)c1ccccc1,2.226,train,0.4476675673881191,0.9709019482023163,0.0011350760998051,0.2394773621387763,0.8992822502878005,792.2660431685545,2975.1070571520445,3308.3128864157056,3.6245250112604688,0.229021646348693
Valinomycin,CC1OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC1=O,5.444,train,0.1579472407597509,0.8416620983210091,2.628683396749012e-05,0.5400045483603596,0.6136377175263231,23343.91879544076,26527.015543200272,43229.11513675387,6.4719756679817815,0.2704552610456848
"4,7-Methanoisobenzofuran, 1,3,4,5,6,7,8,8-octachloro-1,3,3a,4,7,7a-hexahydro-",ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,4.933,train,0.0282723917465555,0.6334898500433855,0.0003976336736964,0.7737509999295696,0.7958844124835662,2001.5518431449527,2058.8069196444626,2586.816486605049,2.8410877867409146,0.7444786378654774
"4,7-Methanoisobenzofuran-1-ol, 1,3,3a,4,7,7a-hexahydro-4,5,6,7,8,8-hexachloro-",OC1OCC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,2.312,train,0.0305578902509529,0.676481793627985,0.0005793562412334,0.7364593558981136,0.8764880426778653,1512.8654535796688,1800.5182086741704,2054.2416108418183,2.734712999107749,0.581384440851942
