Drug_ID,Drug,Y,split,d3d_asphericity,d3d_eccentricity,d3d_inertial_shape_factor,d3d_npr1,d3d_npr2,d3d_pmi1,d3d_pmi2,d3d_pmi3,d3d_radius_of_gyration,d3d_spherocity_index
4-[(2R)-2-hydroxy-3-piperidin-1-ylpropoxy]-3-methylideneinden-1-one,C=C1CC(=O)c2cccc(OC[C@H](O)CN3CCCCC3)c21,1,train,0.7022960601877092,0.993748589689903,0.0014522037353355,0.1116411236477356,0.9282858263126406,639.2256153356861,5315.103065465509,5725.718216099765,4.401956617487357,0.0889467386431207
1-[2-[(2S)-3-(benzylamino)-2-hydroxypropoxy]phenyl]-3-phenylpropan-1-one,O=C(CCc1ccccc1)c1ccccc1OC[C@@H](O)CNCc1ccccc1,1,train,0.1223739815626394,0.845946227645412,0.0003548330811835,0.5332682063769569,0.8997653557796156,2535.7425885386047,4278.472455432982,4755.098012998993,3.853788222440864,0.5658679662277394
"1-[2-[(2S)-3-[[(1R)-2,2-dimethyl-1-phenylpropyl]amino]-2-hydroxypropoxy]phenyl]-3-phenylpropan-1-one",CC(C)(C)[C@@H](NC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1)c1ccccc1,1,train,0.384682625458243,0.96040502386025,0.0002907384869872,0.2786075916840612,0.8780700318962352,3020.1368968902334,9518.375595416755,10840.10984278937,5.121773948483135,0.2787969665035165
1-[2-[(2S)-2-hydroxy-3-[[(1R)-2-methyl-1-phenylpropyl]amino]propoxy]phenyl]-3-phenylpropan-1-one,CC(C)[C@@H](NC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1)c1ccccc1,1,train,0.5417773522836252,0.982328623512364,0.0005171206317794,0.1871643006246218,0.910777031846624,1761.2467495496546,8570.561167653173,9410.163923738985,4.782463051994853,0.1560211192835749
"N-[2-[2-[(2S)-6,7-dimethoxy-3,4-dihydro-1H-isoquinolin-2-yl]ethylcarbamoyl]phenyl]naphthalene-2-carboxamide",COc1cc2c(cc1OC)CN(CCNC(=O)c1ccccc1NC(=O)c1ccc3ccccc3c1)CC2,1,train,0.4928261652173752,0.9771135411697424,0.0002281938936372,0.2127184234210239,0.8499977946034056,3724.892813980273,14884.233467407224,17510.90833635863,5.953081315286172,0.1364887427011118
Permethrin,CC1(C)[C@H](C=C(Cl)Cl)[C@H]1C(=O)OCc1cccc(Oc2ccccc2)c1,0,train,0.7136869771004221,0.9941791353733216,0.0008382355716715,0.1077397177848292,0.9698509962465912,1157.0148404852284,10415.211945865116,10738.98154064171,5.33943069193915,0.1870401739712455
Meglitinide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(C(=O)O)cc1,0,train,0.7371505550717514,0.995289358171739,0.0011489918398317,0.0969489221708405,0.9131856082915362,794.7711869087467,7486.144183128854,8197.834169917063,4.968471794235652,0.0395812844760796
Nitrarine,c1ccc2c3c([nH]c2c1)[C@H]1[C@H]2CC[C@@H]([C@H]4CCCNC42)N1CC3,0,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ascorbic acid,O=C1C(O)=C(O)O[C@H]1[C@H](O)CO,0,train,0.3867298536909662,0.9604155690468702,0.0025947943929539,0.2785712381642738,0.7838201857021655,302.074101836582,849.9505554042153,1084.3693118757951,2.5197061050440905,0.2139186120234842
Vinpocetine,CCOC(=O)C1=C[C@@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@H]32,1,train,0.1675157299108068,0.854904708815628,0.0003057713014134,0.5187850603524222,0.6233761172088207,2038.7005396750928,2449.718243063613,3929.759539124272,3.465561379998509,0.2427981290335744
Demeclocycline,CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@H]12,0,train,0.202732200616027,0.9014742637172976,0.0003398609600349,0.4328327065453303,0.9062970211883072,2666.669984970365,5583.670150901132,6160.971536218893,3.937101424113767,0.4486441335236887
Doxycycline-cyclate,C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(=O)/C(=C(/N)O)C(=O)[C@@H](N(C)C)[C@H]3[C@@H](O)[C@H]21,0,train,0.368412604793726,0.9573491395062154,0.0004323298948721,0.288933599788444,0.8407028511204899,1944.586439873851,5658.114409155591,6730.219127500815,4.0155567759102535,0.2240551963136739
Cefoperazone,CCN1CCN(C(=O)N[C@H](C(=O)N[C@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@@H]23)c2ccc(O)cc2)C(=O)C1=O,0,train,0.6777405609256679,0.9924959767790458,0.0002915928907353,0.1222772917487463,0.9240368707058664,3168.927981665395,23947.261619820518,25915.91567285333,6.408343298317766,0.0851010201093692
Kanamycin,NC[C@@H]1O[C@H](O[C@H]2C(O)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@@H](N)[C@H]3O)[C@@H](N)C[C@H]2N)[C@H](O)[C@H](O)[C@@H]1O,0,train,0.5795141883118698,0.9856296375145608,0.0004859898096933,0.1689207437022327,0.93925660332414,1932.667279416543,10746.2852959041,11441.266697377188,4.989159551090034,0.1957555998230837
Amikacin,NCC[C@H](O)C(=O)N[C@@H]1C[C@@H](N)[C@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](CO)[C@H](O)[C@H](N)[C@@H]1O,0,train,0.3523879550494291,0.9539022970024592,0.0002132255840937,0.3001173233477741,0.8317691479857661,3900.888120536218,10811.233261088164,12997.877220222616,4.86406929731004,0.2379774493981078
Nebramycin,NC[C@@H]1O[C@H](O[C@H]2C(O)[C@H](O[C@H]3O[C@@H](CO)[C@H](O)[C@H](N)[C@@H]3O)[C@@H](N)C[C@@H]2N)[C@@H](N)C[C@H]1O,0,train,0.5769115449562306,0.9856288203637608,0.0005172579578643,0.1689255115970979,0.8921341581167217,1724.737424630837,9108.73174660179,10210.047069411792,4.743993221015932,0.1296807033736657
"N-[4-[2-[(2S)-6,7-dimethoxy-3,4-dihydro-1H-isoquinolin-2-yl]ethyl]phenyl]naphthalene-2-carboxamide",COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc4ccccc4c3)cc1)CC2,1,train,0.8686803830063015,0.9989366469935728,0.0009288377560561,0.0461039617954722,0.9867565936222578,1062.3562481051988,22737.460985328096,23042.623816539977,7.085022549813115,0.0724344620443439
"N-[2-[[4-[2-[(2S)-6,7-dimethoxy-3,4-dihydro-1H-isoquinolin-2-yl]ethyl]phenyl]carbamoyl]phenyl]quinoline-3-carboxamide",COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,1,train,0.6396716530083937,0.9902700973788796,0.0002223747945669,0.1391586656921662,0.9002141919540473,4048.184479303076,26187.61182992489,29090.42321703552,7.110551008500022,0.1036981085365813
"N-[2-[[4-[2-[(2R)-3,4-dihydro-1H-isoquinolin-2-yl]ethyl]phenyl]carbamoyl]phenyl]quinoline-3-carboxamide",O=C(Nc1ccccc1C(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1cnc2ccccc2c1,1,train,0.5366675134347023,0.981842044938834,0.0002349422111428,0.1897002867428743,0.9060345013354666,3856.4142940857446,18418.76183677508,20328.985054792505,6.359955701093709,0.1754841839650716
"N-[2-[[4-[2-[(2R)-6,7-dimethoxy-3,4-dihydro-1H-isoquinolin-2-yl]ethyl]phenyl]carbamoyl]phenyl]quinoline-3-carboxamide",COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,1,train,0.6396716530083937,0.9902700973788796,0.0002223747945669,0.1391586656921662,0.9002141919540473,4048.184479303076,26187.61182992489,29090.42321703552,7.110551008500022,0.1036981085365813
