Drug_ID,Drug,Y,split,d3d_asphericity,d3d_eccentricity,d3d_inertial_shape_factor,d3d_npr1,d3d_npr2,d3d_pmi1,d3d_pmi2,d3d_pmi3,d3d_radius_of_gyration,d3d_spherocity_index
Tazarotene,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,3.55,train,0.8068178071438956,0.997596509662667,0.0013551642971669,0.0692907202218629,0.9609663393154664,709.1142685240533,9834.432960113963,10233.899521516449,5.436712187475587,0.0856854948009676
SR 271425,CC[NH+](CC)CCNc1ccc(CNC=O)c2sc3ccc(OC)cc3c(=O)c12,1.01,train,0.2009710744162514,0.877674938693141,0.0001658118883969,0.4792564052675678,0.6118711036305211,3690.152193223448,4711.251576849849,7699.745173282022,4.406811279277656,0.1461213298101664
Chlordiazepoxide,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,0.25,train,0.1618342081678024,0.8422138407733057,0.0003537741832542,0.5391436231746387,0.6057433952782147,1712.2317680340389,1923.741726861155,3175.836074906917,3.3707666383621597,0.3321068872424102
Acivicin,[NH3+]C(C(=O)[O-])C1CC(Cl)=NO1,0.5,train,0.4008215425942197,0.963177938879534,0.0032298856055801,0.2688647579281685,0.8991467897258615,278.3834784032089,930.9796227954786,1035.403377327658,2.507034191124057,0.4700057182089054
Deramciclane,C[NH+](C)CCOC1(c2ccccc2)CC2CCC1(C)C2(C)C,7.7,train,0.193030804343706,0.8963834741841342,0.0005514359610598,0.4432794459588462,0.7575461131890272,1373.7698784335114,2347.7155128913564,3099.1057468544377,3.3577336452645605,0.3696438789503257
Sabeluzole,CN(c1nc2ccccc2s1)C1CC[NH+](CC(O)COc2ccc(F)cc2)CC1,5.5,train,0.3984592805125621,0.9611424299075868,0.000414099201161,0.276052946789813,0.9664901307727994,2333.9579696435712,8171.430044601409,8454.747528634964,4.770636449774707,0.4438264880261161
Lubeluzole,CN(c1nc2ccccc2s1)C1CC[NH+](CC(O)COc2ccc(F)c(F)c2)CC1,2.6,train,0.858494300826459,0.998764257200836,0.0012169598705173,0.049698677427697,0.9710434523237318,797.9256143515233,15590.363433406605,16055.268583602996,6.1099598374798845,0.074343185213969
Hypericin,Cc1cc(O)c2c(=O)c3c(O)cc([O-])c4c5c([O-])cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,0.25,train,0.2246452336163721,0.8738389989896841,0.0001382579006077,0.4862153883256956,0.553954616364069,4006.676030295594,4564.883663802809,8240.53727318825,4.090311987197034,0.0778127207116105
Pseudohypericin,Cc1cc(O)c2c(=O)c3c(O)cc([O-])c4c5c([O-])cc(O)c6c(=O)c7c(O)cc(CO)c8c1c2c(c34)c(c65)c78,0.56,train,0.2103591573650709,0.859867092083716,0.0001237549080572,0.5105179565416813,0.5476859895225878,4425.569847051258,4747.77149329458,8668.7839092491,4.148221852722585,0.1004990581403135
Finasteride,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,1.1,train,0.5572832511378888,0.9835671315872144,0.0008600412183334,0.1805427862344528,0.944803448396016,1098.5560090094982,5748.88383643585,6084.740531160927,4.166072720280189,0.2915836238296432
