sample_key,split
0002bc0050f2d9d359292cf6045b0ab65788521ad9feaeb48055fb6ac7726234,train
001a45c9fdb5854b209dce9dbc40924ee87bd8296f097d43c30ee0b2f5d59a09,train
0032c0bf4828ddcd1b1b1af0325819811e053028124a9fe3add65233dd785cd0,train
003a50de7b6f290cd59827ab22bb4c5264aad9471bf12cba892199b0448f7deb,train
0053d66f28d4c8c36d5c4f5fdf425066affd9b82d3dbda08f3424eb0f237df43,train
00936e1ece70a9a6eb6c917db6ae7f59a1d917317699467471cd206b1fb2089a,train
00e7ab24e5a4c807af335b0930ac6fcff844e6dfe3ec66c3737bebc8bf52cd5f,train
01ab20a56d11c1d7da4594cc89e66ca20e771940bd9aae3acfa883e55da9e733,train
028ce2568f92ed7958d1e173a6edeac3677c87137e11985d32bb4bf2d7cd4c2a,train
02dea4d2ececa79a5095200fe632dd206c5173bcbfaf7883006b528d4ad69031,test
03016cca902e7993fdb10735eda0b05c04ea6e407de7c99c768565860c05682b,train
032a4e5316e35fb3cc3951ed80f901a24b131fd3bff3b16daa8b66df320f8d80,train
032a88a35524358132efa8d8d3176928e3495911581e949cf4100d626cd4f5da,train
034ebba3716266e117a03525d3fcb056535683a3d928ae27ba7f5580931cadbf,test
038f43e924620912ee659b873b5c4d770fd9db65bc3833408cdd2f2a20f1a81d,test
03d9f3fd17a0ed8b0ea84dba0fbd0da986b70fec13ab635e6ba1f308d4476a45,train
041e61e95cbaac4f2a1089f6a04c02259dfc1b9aec307344f2e232c7982e8c25,train
0431d4b33b05036fa0682d79875071a1a21cfb33724a6bdb431fc3dedb7958f1,test
04b0c5a30f25c74e4ae578ecc4e20b4d8da997069e5ffcba257ec8f9c9539acd,train
05195743a564ee212dc290e1ca680d05a3f9e782cdae9cdf363df98e109765fd,train
05620161886e9cf44f8eb305ba80f51a0bd919af3e5a5902d90db6e055454b7e,train
0565d24c71c5e43fa2cc4223df1bb01da1b1d3ad4f6bcba61ea9147ec780d0ed,train
0574687b82d8afa296cd093a16331862ed5eb9e160af7e493ee44318d8052dc9,train
0588c4d236ada9dbf352c005524a6a61a45cf3c461b4f7a6afa528c9a1cf4dc4,train
05ae7005c9490f227bd69d97c7555f66d74844acfd989dca3d30b21b13685506,val
0613ef8c04e9168eda9069e141846cc0f44f19dab51b877d778da3f744fa8a63,train
0680b108f5ef79fef4897f73e957aeb4f87267804c560ec0292aabc49fa268e9,train
06e8f3a5c19e87da40d65121dc8f38831049b5bc50fbfc59c17a2e9c0cecb51d,train
0708a54af76887427c58f18bd2e7e80a512b6468cc6601813fc441bc2d3254a8,train
070f7bf6d521c0fc87ffcb094a0ede1ff50815c0dc46bd73bf42854e91a99c37,train
072237d3e3a385d6fe0e655e33037d427c0f335b18086424dd1554fdda9ab9a3,train
07753fe9144486f691e369af62a6f26e90dcfa72cd772d30ad24c540f125ffa3,train
077d817a21cfa2dd5baa1dffd921ebbbb015eeba6c0dbfa204e06f52ef5a8bee,train
07ba1a910f785773e9fb166485b08bd2d7e6afb2e30f6e121bd2ad1c64a3bd57,train
07da673ab157c8e51f86545b1e8d69599ef93036d0602fae6f1a9012963910f8,train
07e51266f3414f682907ddc3ab8de76f43d19a0217d81d593072bd665c8cd3b0,train
083dc39259cb86fc0c915e7fbca40e9249efe926f09305e409a13e1b5cdaa2bf,test
0941613887d244901c63920a1c58058cd5de3dcd2da82db6277f79411b2eb272,train
09613824163a82f4ed8e6b35c8d0d215853dfe7df9901bc6c91245d11f426843,test
097096579becd65cc0e9d7bda0b82c50a3b87a6b532faab805b15e097285078b,train
09e87724d4886f73909ed4439a5c01cded4cd60cc24c594ec0279917a4171f9d,train
0a0f62c0605e2961fdc0701c39b144c15fbf59ec2637d98e0eb3c86781ce459c,train
0a2798c0a4017c4e5138cdc4fb2a17f9cbc31131c376fcb0d3fade5dc2ae29da,train
0a9918114aa5dc9279b9c6e7aff187f84a241bd05d586c62b4c02489eafd6f4c,train
0b45593b5ec984ce8d366befa0d347e21dc7858088dcd9b7f369ff591ac22bd5,train
0b8e45bf48bf1f89f537ade5980c8a207a4d2bbd34bb424c04d4c8f53f6ba738,train
0ba8eaf218ab8f648dc8211d5dc759ca62a864546f9c0dc7e4b0add14e619a0a,val
0c14625624b6a3d4bc04b2c91156c4709dc284d4f0480819e79fadf386af9392,train
0ce266d7387f8176d658077e70ea481b696cf1f4444761d184b21221d0d1cc85,train
0cee1bcb6b2086867aa24b49b5d2a159ba8e45d1b007958c7784b6260b14c833,val
0d603175876b443a9bf6fb8123e3f455e55b0dc2a1ff3d1edbe5dbee37b9b273,train
0d6ad3625c02e19a234033898935803f7a7d8cd92a97564adfba1d057e469bc9,val
0e1e794b5fed4b8dbaf7f7ae78bebc8566e859f19398a4d37d681fb7b7a88157,train
0e3c75623d45a24222cd645925e014ef9f54b6b2218bf0fc5a8dbd4c7f7350bd,val
0eec3fe4f1b606812217b7bdaa56759fe29735eebebb62f1af530425dbf72cef,train
0f66c3af084ffdc7c3fce5cc5cb77a0d10d65bfb15b0993e09b4f9becfe9f586,test
0f6b9408cd67e507e04d770ec3e452a274b46f4e9622d8e31e0f4e61052229f4,train
0fca19c065d5311f6fcef914aae56a18a58b1ca92a0a6f9965b4e15bdfb92b08,val
1028d752608cb58ed55eddd26a00acb95abd6e0658a9d06b4aa28b214d35ee65,train
1052ba42d3630926e8875e0a36475159e4cc5a86db64887539d2840b8878a0e1,train
105e5bea5cd50024cb30c1f92395d689c4238e54539b126b88ec6e658e6cb5d5,train
10a1229e3718b220658773b38ffc1af6ecdb9305c5e8cba5bc3757a9e1f84cea,train
10a7e54215e9fc66c71af3525680569a755c1e588ea256056c7fb7dab80e00e9,test
10c02246358dce934f5aa4a130eb4f6aa6417cb3403fd9c06d08767d87d7973d,train
10de18fae069e2d0ce0a9489638ff3dfa3373f3674d9e38b6add1e3acf961895,val
10f98a108982cfbd43d531cf5f9319cded83cb583db6146b1e2c83c145944aa6,test
1169799c972dea095c77502f7f320ab62c86b171d75ae9cce0ab304d62d587ff,train
1170432cf09bd60ec1b0c3554f596f7c22be63722c529a62188464aed8dedead,train
11841fdec7c42332fa1da28b247ed14c3956b993493e6178faa202a2af891941,test
1185d45e6e89c5e77f1ad96cf5adc1570f27a3497c8247df658d9f1d18894d7b,test
11973501bc37b423398c08e3a22fe3605b05b65a66bd15adf2524f133c9c7b22,train
119b50a333d2f9937bcf95383d799cb4fd1bd9375d8f8b108313c50568d3b669,train
11a2a5657704542bb17f19a34ecc944ef56c88eb851364253959600b1a876788,train
11a9f4e4255452927ee5163789a2689e092fcd74d425054be3f8a30dfb059609,train
11b25c15b5fd25a327f163a1190b26d67bfecae1644b48e286473be048225183,train
11ecdd5d25b2f32f4227b17389b406fe60e53606f1621f69a5c2be439db7fe5c,train
121a059a75e17f749b3dd7d500cc3f3ff6c50fbef7fd77f074eac2f357206839,test
125d27b7dec1726cb2e3ac66e6219284260b6d6c2c3cb36a106a2cfbc8c42367,train
127dfbfacf6f33a5e65c483317fc80f393b890ebbd12a9a9d746edc23b168e5c,train
12eb48bfe88ec500d2f78c0c30a922f4c5e976dd42828395ea2198c42cdd4a57,train
130256e799cec6217428eaedf1e6885865f61c67c9c477a1f82911b77b0b36ea,val
1313cb09ded3bf7bac149c42a8236c0e63c93da70fc6a5ad9b97d2114440692c,train
1350cc9a65377ba7cde923ca22a0d8c15827742dae41673d70fea9f0cd4ef4b5,train
1357a47a7ee3f52743df9bf3df50801bd6db9f5e7d289fa2d489936e0de790e9,test
1359ad381d72ac7868d34acff13fb6407ad809d026fb1eff0daaa2018b89ea1c,val
137d31b7ba9eb8cc2e23af9c3fbb9b04fe6b1cd0ed211f00de87f923c0f41013,train
138c13aedf98e1338aad211b8fcad30b1fff64225f11eb8450e7eff363c9a34d,train
139df525e2911c2710450148d19d26f85a4f4d9efa7e430542f4ee55bea1faa6,val
13a0d3853eb4dd8509add1e08ae40b64325d9d9888a5fbc6a111e55357848903,train
13a95a2319d3cdfb7a20e7e1a0ecb505786f5f55b663b0925161dab3b3bc3a79,train
13f123218044b32bcf22d1f7a488d09c932b390237ec762c6f39bd1383b31d36,test
141adc49961551017a69fb0eb00a4471f07262d53aa30e244b3247353d5e5dfd,train
144f3cd3aaf9e146984accb15d8610aa82131a60d37a1feccb5acfe946138ce2,train
146770124460587acb9eb589e30d7a2821ecebf0bc0035fea514090c29b8ee2a,test
149976015cd1b1c8f3878aa4156f7ea79903a846a1723cd5cb9b212bd92dd28a,train
14a733e288d559c8e0fb25f5d573f6955e8cf8b2476aea7e3458dff293f352cd,train
14c5dc5884b12eb3167dfbb13ef945b4722c5ceac6abf7380af507b7fef2df69,val
14d690726ff96a3bbb2c7165f8e679060d4700d01cc9db7286093573d34cbc0e,train
14f7ca553738c6b459a4934d5cdd23088f8727fb715f40e5b36696c2d3f25bd3,train
