sample_key,split
004a732d1f5d11b79e0ee1f5d54964f79754b67d1589c8831a8a3e0df47d976d,test
005542a51c966aba91f63e40192136897ed4aac9c9349bc0cb0439be3d11652e,train
00c7f3c3fe9d4f46061544ee060a3e1d9c515eb830ef1774e704af965ff39327,train
010330c1e3af952b267d2f507f006fbd9d43a636440ffe44a12989f57d07ffee,train
01e940c31b88414d659749dd4ea88030c1e059ac36a820129748b8adf4a8fa46,train
020fdf47bd271d974f80cd8b9693ce9da52ae179f0a1a7badc9cbc67d5f1d89d,train
0358d2ac9409e660f0d1b4c7034d9e21bbb2f9820ca2ed4a979a5fd568fdd3f6,train
0393616a299a55e9c824b9e5d05c08c51f02c0002d89c252a5b6a047cf5288e0,test
045e86e53dc4d3b0e81aaee177301cf4e77a3ba5540d4ef1e5774e7a1038b2a7,test
0465c72b95edac2644fa18d4fc98eac8091db51e7e92ee91ae54a6e2f346b18d,train
04bcf4fb07e0ef5b30e49f95dc31d1c05bb24ef272388a91c46903490b129407,train
04e357cc6e74bb1e169c5c4c5605c3d2a786ef86747de1ec3978620959233f31,train
04ff3cdfd3e7dca2119c7374decd06995ed0e2a330696934af523debcdd22fe1,train
050beee2e3db56b02222de886ef2be67dc49ec501d16ecfa7ce5a530fe73d0da,train
0515761204b369e17c9a23c3779f286459736800a7c276b8a266d7fa3ff61321,train
05479e3e3793be41370574097c8413b584764c2ab9768924c131bc3fb5d014a1,train
0581633593714c09f6f222e14df02b046fcdb61699f01e16b2e4fce5608e79d3,train
0599b63592f6ea4c9cf096e1c12c7d2a43fc3f7eb9f3f6cfe49a405f16a7a4b7,test
05ec37b10ee25ea0b0be4bba4e493a8b48cb9944aaf6e43025ed1890575f4bad,test
063b51dc89e370d898cba47bb27e919975212e0133284fcaee2874fe968d5d10,train
0657e13991247f25de9cf283eb9da2616eed1133f9aeea6b959daddfaacfecb4,val
06cb1abfb98cecf0817d79af1825739994d69f263bd2b294ef36097ccdeb3600,train
07ab50258038a0a0df71185173633bb15cf4d65ae6abb0dc82db2f57565ad8ed,test
07b35d5bd8982fc4128f63c2ef0c2da65021fe1050449bd7b6e124256ae69ac3,train
0831f70c1603dc2ac14ff5a9792263e46b8445285002ee5b95b9a854246188ce,train
086047c412fb74feccafbd530c32c0aee176bacaf5df20cd4326ed827843becf,train
08b7c64d9d3803671371b94b77f9d5b93b4350d3438d5f048bc163efeb4868d4,test
090a17e3bdad5c090befa618d5a162455c80da45cc837e7333cbe672ec7e9136,train
0951230d0d67454085fef8b214112aadb131dabb85a55a98191d10f67be0dfeb,train
09f6bdac3c6427e70b7c3b9f8f720fe494f53416fceec26449c573fa590bda6b,train
0ad06e90de3e813954e6b58674f0bb82843edd7e99264b10826335871034303f,train
0af62e242a96c8d3d56c4394c97ce4393a05eea06b83f13278c84f8e27f9ae6b,train
0c2268c94cc2995cf0f8fb324a86d325729270899c7ba642b9199ce8ad855523,train
0c4222446b5b77f498860e6b2ff0eccdd85cf080e072354e71f7ffae11aba9ff,train
