sample_key,split
00342f66370f9813921b80fdea94d255308af27e365bee188aac28ed8c5bc7b7,val
003b0315c375b5cbd64316af7aa2583c3c444ba49d4e2215661fe217fc835546,train
00c4baea26eb35bbcf3a95b555400674d8d729c48d147fbde80f8e851c4ff12a,train
011dd3c91328afdefb4c0bc59215ca6ab577936bc5787ef7ae41cacff5eea14f,train
01774576c25342f02cfe599f3ff6217fc98877f067f45a4b9bfa3c6361608ef1,val
01c87c378d92f5791d735dcbda0ea4c6abc9eeb006d6a029d45c3f465122173c,train
01fc2c4779d72b54c4a0af55be8a156ebc4d46acd8ea31297b10892a5e288958,train
0266f1f3f5bb35c607b5211bd2465d89ec6f2cfeb0b53ff36cb37dbcf8f81fb5,train
02ad3a3f9ee372d962e0ee05db2d1f895a67777c0fc35f426d8b1ff65da74d96,train
02d38453303e3d69a3436ac045b34fc51e692c9ec3b5f726aef13cb4b37a2676,train
02f0bc8dd09eba2c13b26939b28fd4990f298cb42ee9a3179dfe8d317331f69c,train
02f3921eef65ef9b118c9f9189c58b79335eb5e2eadff1ed7ae36e4f531019a1,train
031b03a66d46e04e6e22aa28c840794fb802051c02f519e0faa01db017db8a67,test
0336d34d27212a8f8b074ac8ebbafdb367b1f6030740056f52bdc022a965bcb7,test
03a73ba60a80c7b3ec077f1260f1923f86dc3c3da27456cf8b09304529852a00,test
0444edfbcd5a156598557e4eb0684c73395fabff9aa2414d466834512cc16cab,test
051765399f4cac170eda7cc70db1c758c4acdcb4be18bf9edec819adc6ac8d75,val
053fe12cb7c850f22381252ed706455b8c40c90b0e95cc400910b74f149bedc9,train
0758072a72c3594ecd65ad46a35a03055e06c0733a016e6a0c20a10c119394f9,train
077828d22f4b0e99af65e3d727e8b96f7e0fd24b8f19a2a90cbc7bb751ca7bbd,train
08607babde997748df7af06fe19fe0ace3ce6530d5e3c2d8a224b8ae988ecafe,test
088cd311ac15f0ff2e17d595a91a988cb32357ee896e9b0f8475a5e9e13fec78,train
08b5ca72d52c9a3c146d0c28e9f246631641c7cc8df5737ea23ada6d9d599133,train
09af5a1c685db8b0c3b0f1a490b48eb176c5cdf63442a0d15b1b2c9f5e8b84f9,train
