sample_key,split
000797dc3b44263654a4bf46173686da7c64af15865a0fa3b2154f9dc6499d9c,train
000d5d5f821c42f60afadd374ed52838b1d218dab1b8e9512df6d8f24a6dc3ad,test
001841753e8e1bd6442a4f36972e245a4bd958b8da5a46a22ad16c53986402d0,train
0029276df417573d208cb7deb5cd3e9ce95823e433ee4121c00a3f6422497636,train
002e0a82fd622b4294afb218935fac3acc11dabc7691ab7e511086cb76170ec1,train
003c459446720e62ecbd9cb78bca2484521eb95dc83228d49295e3fcb7bf75bd,val
00458d62be5e225cd8789a1c89c62ced32ea5763b339d539bb93c50133a1837c,test
004960bcfddac08de4eee243700fe53947164c53024250a5e23b0741520f653d,train
0049ab48dddf0fcece0f00e620291be6bb004a3c7e8a49f096f15b4f60c6dde5,val
004e4556c969000f53a965d8c447f33dce1f50aff6f062809bb84661f723d57d,train
005379017b726db0560a0875ecfce2bd54bb133cfa97c157dde4078c9ce8a6a0,train
006301a7b118481cb6bccb724e14773ccf1c10b94be662201bded81fe35e067b,train
006a19b72c0fc3d38bdd46664f4258d8d8c8f70718ed28ba3ffdd846538a85f1,train
006edb95b2939b4516a1ec8b24f5890082f700e0f26c2fb6af5a3205b1cb98af,test
00752be78ae1b2a6822a7d8998fc7c891b6539245febf0105456b08bb2c41e16,train
00781be5a85d99a6ac6b5f12d1cbbf5fd3f6e8b8db079e7f50dff1cd95160963,train
009705c5c2f7d857b2e44fd057c45aec5190676e9a0868145182ee5ce85d0523,train
009e8a495818ff8949c5e852808cf0ea06d563b2d90e5ef1f276a6d2a5bfc63e,train
00a5135a9c1e520ec84675056d4f1a6dbbfa443dc9c5ef66375f25be7f20199b,train
00b64a070bd45be0ff2bfcfc81cf26d65f84a539ec6f7234f04a54109d223243,train
00c093296db11790392afff550443abd86b790a9f336be41ba1805d75268a1ce,val
00c127b3bfc4851b151fd430ea9e394187f4e7445cd9e59e3ab530b3f0522a5a,train
00ee64ab5675cecf7a3f91a7447d27f8ae94c79a4f059f1055ddf1728257ef8e,train
00fdda246aad036d951e9e3e56d94a2f4ec9964ceb59d4b67f9b33d0d68244a7,train
010ca4e0ec99a02e4d69adca2d491b18d6a911f038f9b07a71b2140f0ace7428,train
011044c36a6266dfdee4745e88789f707c5a4e2be87b2390f46ac44fbb4bf82c,train
01119924da1f6e39aa10a2f4172447efa6cb114f980186f317ad2814d33f57e7,test
0114dfff4fdc9c7b5b77d058697898b44a225642faf5c0c536ab5f8035e703f1,train
0120026a229cc30fc3adf9f1634ba0c33e44ce253bac464213fcc8236b60d546,train
012d4d4d13dab7dc65769e73f2bf8fd7b6b14d82c7306e6d1c9d93ba6f96814d,train
012ee1c254e772d968df63cc33c85cc68fd6b0e551697c6e1d87dea4f7c6f2f7,train
013031db9aa817dd672ed7762f32e2fc745d165b7c95473b777d0772e4e67c92,val
01309038dd2c458ff335367ea8067892461588498a9be6ff9e1c211c1190a9f3,train
0131e132299d018520ec4ab6de5a60e04d33d3a8bdaa2ea1ef75b1535b8192bb,test
013f480182ceffa31e54ffbf0d8133782f2e326ac91c0b931f4a100a9f367506,test
014279bd813fb78836e0ac3df9110088bec4be1260af6248faccc27550e62080,train
01582ba63a16aa90c365da48cb94f28a344927dc30c4c81a8a1de63233199a17,train
01583367ba7177461dac9172ffa2db47b9061b700927b32e1b37ef6fd22c32eb,train
015860a47b32526f6e21cf393726e30e11466589cfaa54b48c4b9361e5e38ee2,val
0161f1a4d1e9793006fdc55d525182f29b00799a6e1ca6b1bf9eedc5a08ad8dc,train
016b7522e947a75b0b48e4000339fa9249a2f548773e5525a1d08229d278ae04,test
017c5df06dffb552aeb85c5bdabae2eb4f476f00c88d5224a71181d8a710b562,train
01823de4b7f781489c67dac5afa1c2fc45d8cb0640ab696fc6cb4368d896f0ce,train
01837722355fa860b3963a4c28f69f9e791abcfb40c088d6101c669d6b1e9d9f,train
018a52d1bef9c0a06b752292d93b6deebae69b1351a661b28a06cbf02bfc324f,train
01997e0aed2211c44bdb72990a2c603f234f434a527260750c93b05b67f35b8c,train
01a3c2e83972cf7494508e877d8ffe2f8dde41c84e74e8f5c9658d67a6320394,test
01ac0e0b3bd115e55da6362c2cb35c5ebca3e88be35e5756d1b539412c849aa1,train
01b5bd999f00c5953a34f1e4cc024d0c0318b1b881c772e3488942f3566b53df,test
01b808392652a02869c8190325f7ae02e4a17a78acd1cd6b6262158f1143941c,train
01b9f55b2e9dd207842a4208f12e0e81e7d1cca87ecbf2cb19fe7d3f7a146c4a,test
01c4b1d19dd6cf62dd1905507b408ebcfa0755e053b347a29b9e20957d294378,train
01d238be01817a67f9787a1384d32587061a6e8fd5197d6f4b5749f5968e2ea7,train
01d5e98f75e483c0bfd181acd2edd783ca2dbd594edac35e8e9f8a9e89093bb2,test
01e0e47dad123cfb1b7ca5f7fe43e469401b869a51e305fa2384ce1293fab156,train
01e2c25973fc4b1c4f183cc301555603375f432b02e1f0c1521128c4d27d59e7,train
01e3bc1fee6cfadd6b21eaa67bf56973d57b688ade0db898ca742c0d6ca06dce,train
01ee9fde979477e9cf7a1ee84ecfd679434b7c083be5a3ab595b00e655980565,train
01f8ede93e15d74e5cdf0b02a8893cd34b83de41d8b9959412e967eee6bfd32d,train
020b086ffac621fedc273a055d4819c4697559504d2b2df2bf685c8bf334d743,train
02125f1b6e48c2bd9b8b3a12736147a9a3a27bd7d310f900bdfc3ec744e632d5,train
0214f376304e4575673285929867c03abb0092c841173b89fc84a7ebeabc29c9,train
0228dec3927fc3bccfe36437104e1e4dab6e94db5dd067b8bdf4cdd86be44c37,val
0232c353196522af6c4d73291b4b80efd8ba6d4f77da799aa1dd3b5052778e2b,train
0234f8170abb5257753005826d43bda11c480e630f499fb07f93e70651a989a3,train
0239f3f32040af9e571a3e87faa8baa0b462ec46a7ca0a5756d3d4cbaccb4ab2,val
02498a908e4297194b57bd3ca041e14c96d4c5f6889e7a367434d27e5b87bc61,test
024c9b6546623f5819dc3eebee64ba0637a5b1dbacb46f4c6efc6664322a3784,test
025f4316f86866429be460491994fd496a175142d69fe333640590a3b4fdc40d,val
0265830362383eed4d8520594b3b84fd8bc1d8bfd06517731176854079f4da6e,train
0266dff0f07dee01314b27fc1ca3aba848583abb4f598f54dda089abdce9ee03,train
026fa2acf0c46005706d7fbe1ac006ac75c16767ebf6774ec14e73a4721c51b2,train
0270ba6fc6b46ad433ebdd5271a51d9f641f7806abb2ae516ab0e9c0a77c56cf,train
027298a27e3621e4f12cf43600cab2a93e67cd22e5bc625f356e0ccacc336f33,test
027fea87d3d9b447bd3a1037d1a0db2fe97eea572bffee9b7f3f60475df53f0b,train
02863d758027d58e660989d65e818cfa88d3c54de0b4a23ce68cf86815b5f0a8,test
0287d142aa817779c9ea6b3a96e7a35f72f92536351a4758a53c7941fb15938f,train
028cb7cd584e0bfb048694fa1216f8c2c198bcb3c796020c33e7d0a25437cff2,train
02b391dccf744715aaf50f96cdfcc58f3d4878feb771b7d810d6af4087b1f3db,test
02c0e9241a0409e61c7cd7e4cf69698a33971b407aa9b66b4ad73360ef277fda,train
02c3c083be332a467fae41f56f110a8b5a5ee4123e28b1e36d242a54c8819a9d,train
02d9c797d95de7e6de2850c5fee03ef194af1306a0b76912b70b0eab620735a3,val
02f3408c2b21b997173ea24b1f41c21041c4d02ec6a2785bff32a992a07af718,train
030baf96539b50e91717a9ac700f0f5868e3f455d828152847baae448346c5f7,train
0319b2220d3ee3e607bb1c00d1648ad5afb62378fe3b6943ad4e72ecf924a3c6,val
031e07c261658b1670da087276b85947f4e9c596135711e450901ca2dc40445e,train
0330ca1aa1a8abb499be1e57ffe62b63e40bd5065a3dae28beb803253a3a89ac,test
03328a28082208c0efee8f173e05933b5fec6e3ec8ae9502f8b96a8847db3620,test
033b126eb2e49bf3ffa373f89d31df2257da1552854183edd41e104554d871d8,train
033bd5e2c388e041d7b6b90c9362c0539aab419413105a9f7d4929973595774f,train
033f133286dd96ed3f6dc9a238229f27e327044a7b7b256f712123d9ab80ec82,train
034520d9bbcee495f783f89df381e421fc2e8e9926718ec3540b1978b2425527,train
03578d0138e5f6effe9b287907910b3603d9e37e002e21530c720d9271ee47bf,test
036d1234ed1899eb208c6f1a23e3c288218654a8cf891c0985e91c4d349a2df1,train
036fb2afb83d814e9686362f37d86b572aae368815bb6fa1be160f5d61d32f7c,train
03805562dc4770c4fc36ac41349b2a7b7e031e9402f3b8447f2fe502d44a5f11,train
038c2f2b9bd10e81bacb90a2253ba3341816cc39794c100e96b42e71dd0ea564,train
0392d716a22ddcb3ef07f235375779685d30fff410ada5e9e0ce07a7643845be,train
0398fb8d8a1091307a4e3889ee1e8db2d638463e4a1db6e8a7423b3036cf0e10,train
03a6e67b8f580ead430bce1dd6a16bd0e7e4d0cdfa1f25298c76fe943db4ea1f,train
03afb8142618613bc3c5f469d824cc353c9d794db2a9dd588686459ec9a90f5a,train
03c67dc42b72cc9bb2a7e0633d0716f44a053f293db20cfe29ab891f0bf6aebc,train
03cf93d07cfac99594cd95a270c1da0a9018290774f2ab1b4ad34891b8b30b42,train
03ef790d2b583f62216b77ec4d57ed6a61078f8e35b2bd2c581f03b8ab5663ce,val
03f173847880ca402c8247e1748f3383be3f38ef7909f9cd0b318cf8dd0dac81,train
03f7ea3143dccbb532743ef8dda853b400681779e680f050ee768745b52aaf7c,train
03f7f11c58e5dcd0ec56302ffdac7c28306c965dcf71f9606a869fe0773d6b0d,test
04031008cf8fc6f898788f0311f088928567c24596cabafbb02dd76d02dc59ce,train
040c94e9656b5777d0cb0f1a99c991b482f9a06b12dc0b90b28626c7e5caa413,test
0425eba3631214b33997ca082b58db4063c5079c24e1da327ae43d041a78bfcc,train
04384a9dd1e1038bf63b89db6817bcf05f15650c82dbc91ef0f5ddfb4d7b4fbe,test
0444e5a062f8c8ef5634fb789a051dc7ec9a77e3930358dc7e81ccb4e1ad3bd0,train
045dcff78b34611e33d96abb6bc468cc9547ea460668e0ce3b247ccf1f823f02,train
04605a1461f158c9aa0ac559bb417773337fd25c46a0932ba812543903ddf9c6,val
0464eda5c2607df5f0dee8e91d096782a154215629028a83c077a46a691f2931,train
04666054fb483d4a0643b8bbf0c54b1b65715fbd4c8402ef93c264088374c30b,train
0468f829447bfb609eb79d24faf2b91895be9f11561f8865d77e804e639c61c7,train
04836afe8c121cdd27a6fd918f0197dca0214ebd7cc4d793bc4a3e10e04129ec,val
0483b15d3c891635afc2fcfea96d54b18ea458138b67ef28c1e7a526d507011c,val
048418e0b4cc1bbffef0eb414527eb992a360f700539294e2ebc73ae95020dfa,test
0492cd4a5f4241f6e214e5715f76d01f92f582c00642acb9fc88b8c5e72206e1,train
04982dd30fcee95249f5debfefe9d2c29f6448f6c77a17fb8f9ecfca7e10caff,train
049a1f32a9590aec1147047215a2661063667690f2bf3fedc9b4e724767b43c9,test
049b3de740be8993bef1e7dd743dd7967c5c75ed8ebcaa7f1baf5d01d298a17d,val
04ac5e6bfe911325dc0aee793f0c5f983c57b8da089115208d5693eaa6a26730,train
04b5083ed7769c8209a1b3ab889448a767d9f879368b1e37163c271c2c019326,train
04b889affc65196d00548e1cd5876e5bb51bb9d9551ec17f176f118c444a3532,test
04ca24396d0edb38bf84449c02a92fe17f6684e2538d70a03c9a553ba71ab5d4,test
04d3616fc7a23cbb3b171e755afbb25cab5d500f49ea96da9bbf69238aa0c83c,train
04db0b9c974ddf5f0d29388d43f1459dffebf80b1f8770f64751d0fee354781b,train
04e8b329efc3c6a1a5fa511db6fa3b0de6846dca0e1814b7912e2165bdb452c4,train
04ed8f9e375fea2714efc2722adffb970628afdee2fecf23d5fd0f9403bb59f1,train
04ef3bb8a1679ea20f9cce132963cc2e69217ea9eb3fb108292a466526659515,train
04fd8b5f016db9b7fabf5dd3915964f7a7f43c68d496339f3f98f23256ec31c8,train
04fd9714f9e94953433c3057e52242595dbf8e50ebb2e987d1c0a304bb4903dc,train
05005705733b377bbc973b77d17b31a712381176cd9986806bbff038238ce70c,train
050a848a2c37ee630f365a45487fb0e62f3c4f144f76a8d4f5c0234800f0ac31,train
0510e23b4f30b9d5207de3345e3ce08acee25bfd3fa3ad94d562ee715c0510cf,test
0515347bc025bd089b05db941460f7056aa4d6d3980c133d8293a95257e49c27,train
0522eeacb4e2dff1eada9f03f0d6321bf910edb32a6c14dbb1479e7f94f40417,test
0524e9850bf45cf7f6c1b9d3cba085341bb2637eda584f4cd377c2ec0ccf6fad,train
05270584d95a21212d65c23ea6394e519ddaefbac30bee76a3eeec9e7fe7ab5c,test
0529f3612a59e52d4d46c84069cf24cf1510ecc0e88f4bef600d89f4a98d86a3,train
052ad8e88bef99599eb8078d0e22f15ebc20bf3e05bb64bed3ca51dfa61d2d58,test
052f3f47a90c5c96c90be9feb7e70d6453ca96af7543fa4e779709a2ea36e27d,train
053fcd5df3c2bfb26f0c7698c5dcd45873ff7d179ab5a7603f47c96d772cce5c,train
053fe4dbafe656625b132665e6f27e2e13c2d5ab33a11af335f6acb580ca2ea2,test
0555d9e18b988cc69ec0242014ba85debcbfd85f0d703c5f5731059fb1fa089e,train
05627e102622c626b71bffa3fa6561177e1a55cbc9081d9a406af85a72d00f2e,test
05651d084e6b60f7164d38234f499adffc1f38289be7ede7ff384c5e464ba797,val
056e96201b6182a9161ce0334a0f00eb3c680c9de7fa18874847cdd080f95fe0,train
056edb74ce7d27fa5a65f7196707d2c406a1ff19ec1789b2a8f56a08426f3303,train
0578d4be8823469750e2aecc18bb8824f7b613f1c9ed0ded49278cd60ab80e42,train
05c038e38129cbe883241586bbf657f36574c5df401184e4de7ccc04252b4b39,test
05cb3dfd079d4219380bd8668a06efcdb20254fe24e007fceecb15288124d21a,train
05cebd28636838b503cce742cc6ff94f6244f3bc44dfc659afadc740e1020994,test
05dcc669d14ff1ccd114a3f86156cf40aabb5f6e12a96c040d99c2d5856349af,val
05dfab3223376a259b88880fe331934c59a6cb470a9fcdff77d0019cccbaf415,train
05e8733dbcd7c0d71ff24ac4957177a628771e7b99d918a5c3189e2f294f09b8,train
05f62306ad7d750658674f623566299d2806b63c9e645f131abd11485a3c6665,train
05fab1f159fd3b58579fff22b1c375119128b2aa375947ce8e290cc4c4abd082,train
0614d21a2ca6e5b5cbb7e25d699d115857b5f43d86c6c07fec4ac464c3824854,test
061f3512239c8e9249f85638434ee2fbeb0fb1abc64ee202120823408b02ed5c,train
06254061767d0ff8037675ff1b0c35f15735c8b9c5a972de9d18b23c91ded39d,train
062c2adee6b3ecaa6f2d83afed47e70838512433281e3734ae8702ae9a243632,train
063d385bb43dd76a4c0e9544f86685ad6640427f2458dd625f045cbb54b20202,test
065d784db03535fcf22c8bac538d66247a32abfd1fdc4a57d842a3f491eb9ae9,train
066550cc5cfdca651da2405256911100fee8076ac26f2f3ae8538e7156380f12,train
066553cdbc5b1056b7556fe3a72774922f6ce35db7e4b41383cce2fe550e19ed,train
067e5f63610c4272714c01b39d976dfc0c66be3e81fe899fffe65f1712d2b238,train
0682f246865825a5e204b279ab3c430d72a3d7134ee1902cb79f1c98948d4c6e,train
0688edb4b7de49d3450d5961fb1a20a9d648cc23e5ef5cb9a5e125561f0e79b8,train
06898c81f819d25e0aad8f9e5002512fe72c160574564d52aef12dd31b2ac5dd,train
06a47bc0b6b70d5214656cd2f8ecc1995cf74c96f7bf5f86c77f89f204686d4d,train
06a8bcb81713aace78d17d23249e74484a520f50ed62665561133ce72292fbf4,test
06c810ab335141645d4344035867a9e802f87ec4c96037178f298cebccf01467,train
06ce9cc8ccd14bf435a13ffbab70310a90ae56a071d883620134f6371dd61f19,train
06d99138b63b598c76ea9b8bc725f60d59ffbb0093fe061d64c56e972e06f060,test
06da13a78800a6b7bc8f0cbee733bcd177ff7fe6c481827668f0af83bdf84476,val
06de47a396a3a50809ccf9c609c627868776414e7b6e8d0cfd853fe3cff99650,train
06fbbacfb1188ed53fb1df6f15b32a4b25108ecdb35087456e249718e0f3357c,test
07105fc8cefdf538b1b26b44a64fd62a7b435fadb2d13f87ef5ce21098de10cf,train
071b371e51b0667be921c21f3cbb7e2d866a74bc788296dcb47d3ba61e67409d,train
071fae8209cbf8852b604b8d4cb9e131d37cc0f2f3c036230b2e33e00f8d5951,test
072925ed11a5d9066f2fd5230d32b89ca3201e41c2db607fb4002b2c8e7af883,train
072b6f0c35c79a527c141e697e0905b984985fb1e27cc233c24b7ba1a87b73f2,train
0737016e190258aa2285f11305dae1690b677a8bbb77d853d6f43d164afa1179,train
074a9ff4c19efe31f236ef0d5bc474e06494de7523620ff168106a07a22c25d3,train
074c150a43bb3725c592ed8ddb4f9244eb905a465ced572c441d706c95b266c9,train
0755ea03d1fc8a1eaee77c68290751c4b0ae2007bed78ae1eabea7b9bfc60dea,val
075cf4e1b073679fca8e3d4eb28c6efd4f661ffb7f099354a257792a053325ac,train
075dad3197b0b21d8d09f3c164d0527a47f03d1c1d4e32dd7c57cc8584b92613,test
07645541d6dc9b918068b163d4d89317e92d5f5a0446d55fef466f7a42236c90,test
076a8ecc55417163d7bee194a7d8943477a76dcc7416156dbf5ab14eabe70568,val
076b165534f6e656b904137818541fb0cddde0d33548b2b187c98849d3098022,test
0772839538eeac4ec74c0a35047215a44577a44bf9cc401084954d1201d69b8c,train
078538f035c07b3aa7daf3fb49f4515499dcf90d3f8604129260460ed24b8b71,train
0794b799f872243b13e7cabaa208c1e484393776a79b78b0a619a4a92aa3a006,test
07a4a46a40bf61ed688250c81497596238b4c4c3654f0adb652396906aaab7b9,train
