sample_key,split
001f067535e3ee5fa312c47759c97af6f944fc07af9a565b08c96e3d3d9b2a0c,train
0053005218837a8fdff7cd649958e5aac6c4c33e7c17b155c9f40cc203b8deb9,test
009d0a550e49e55c37c2c52f05faabf1ed4878126e643e3a29dfd5a9df3f419c,train
00d58028b564cc079ca94410df05c85c192a7d753de3e3b5107538f4aa64183a,train
011485590878a16e32689f0156777e94a9d20c0aac2f26553c737cf19115a13f,train
0184ea5c01f87c13cd1188bc2b8925db64b98a2c1b35759b6aa1de6b14bd1af5,train
018cc71cb60030ef78b3c73c08ba0b107b21ad18a8d1cfaa99c159122f29d02f,val
01c4008553e23e85da0a770a3e12cc620529d40ee811bb1cb5f32b24386844db,val
020338abaae20da67005205fbf801870ffdbf332e4b48f06fdf3ca7e3d3da89d,train
0264208d9c20e69f440dd0cac4310921da4614310bddf011706a17b441230747,train
0276f1bd4529d93bb783ae6105886cdeb8e1e07b591b13a10077dceb7561e83d,train
0280edce86fd0f26ba206e62cfebd22b5953fa9f6383528071f14e2a1c90eb3a,train
034c96e65d6c01709be0a6b78f8c2ca090fa54b45bfba029f8e84eef618691d2,val
0365ff39a7df5ce1244707c9c5130241ff3f366f2af4c487f6b9cf5b5d29c611,train
03ccb98efd76978e88c6c1b86d416f51e2082b7033d34646868618293d36c5ff,train
043493538d213caed3c97adee8125323328f890677a92b864272580404092c63,train
0435321feadfdb902477dfe8be458510f0e4f5966e877ffdf1947c4b889bd5ac,train
0446da9df8d801bed2ba7e217aa42d453481fb7367fddad560435bf86c89ef2f,train
0466efe9306543416c1d378ebaa7c0d4fe2ac870b8fd68b5994377721edc65d1,train
048499a289b3f3f6f01321db52dad779c682a11bab5b91b04792baa85944d7fa,val
049962d70f88957a70032f8b27b3a830587d4dfa5802652b93047bfc0ff995d7,train
04c5097275202ab9fe178fc6bebecf8f8462dcf0d9e21c562987b9c53b7c5df2,train
0501860ef5d9f24a48c15acaf061eb6c9df5beef18e80226b49a2129a83cbe2c,train
051e130eedeb19a6df30aa59316dacba0fd5acfd1971eee9a6210f3c03c968d5,test
0575cb24d4d7c7e8fc38a9a51a494fa0277f25d66cc66246ac3e621e42db7a8e,train
05ab42725c55e7763e86b24bb37e58a7079a035b17b8a8edf51505742f9cbcc4,train
0613e0189c4fb08036786d908b5e9521c9ba60b927234f1655da76fe63c949d9,train
0614dd5b1121a911229890e9a190bcb609a5ade10b08139088648487adf7337a,train
0615bf8184100ec7cbe1cc516eb8fcb314f4fdd6f5daf48de3c49b511bd9e4c7,train
0626ff7d348534e8b73833b9b5981d002e6b32927ee94d40524080a5f11aa43e,test
0682b5ae9e325b42dffe6d0f8f478b2943918552ce9d002e1872aaea6349f3d6,train
06b3882cfae99f55e58d1f441e0760fb1b00e80904081928ae81fd44eb3b2259,train
06e6c12f4afe213cf184b1cc346292633d7db8a71351b7dfa442d41fc26c202b,train
07ce9a7102d316faf0e3d65e3caad9a6f4217be06473fd4ac3684621eccc6173,train
07ec097c87265679d2b2eeec6db70c631d44ad4d96a7ae293d18ee76132b6b73,train
0844c292d6bd0f4702926c15b23c563d8b53c0af38ed0355e1ab63414f0a5792,train
08471f5a716b108960b5f58a30598c43e4f1e144417f215d2abc4af1c6a89586,train
0885703f3e2743b681b19044df4b57f0cd5af0123ed8c061f7afff47e80e2583,train
08a003581e02a183a90ed7d1c029bacf1c4e423a6b06f40f7fac9be64aae68b8,val
08a4ff1586985dd830a6a42ab030c51fe2d9fe9c6a98a7b342687795501d8527,train
08c129e5bd21aff5338cbf9b99ef16f3125709c87bccce35356295026fe98674,test
08cfeca0f5d9820615ac8d86e465644d734d02cd9852a99d4a09cffb503b0e01,test
0904596ad69abc9fc262e791b5995f158e0718256b529b42560b77e2600366e3,train
0916a7ed6cfac8022dcb617149f9368903e80afcf619ed7b0f1c398a9997bca8,train
0921eeca130a4d0d38062350a7082a420f865651a9fb14f6dc35305f48b723ae,train
093fa75a8267d9ec74e5e8785c5fad0c13c563a7db80a66808000e80bb9651c9,val
0954c5c428bac0c1f1e38fc407496602a3523cb560d1113d9be9c56de51360f3,test
0962505f41a30c3061094ac762293611331a0238747dcd475090e660701ea150,val
0979428d376a80f0e98f8a9e93784a79b93f3838b1de5b539fb1510f994992ac,test
09da98e5219e242aa1e27c19ff85759c327cf3def3cdc19e378ef6935159ec31,train
0ac8a0660b3b9992ecbc22a12eee40f53ad6a33d42ce9a7de0645d548ac5190d,test
0b587cccc3a70ac4606c4c45d3826dc422b67a5ab3c49e363cb1e8a2783e88a2,train
0b8a149a3d062ff447bee98128a25cfb452fec73859213e62f8e3c93a0b43b10,train
0ba30c6948652a350d0d6eeec8a6a35c6b0aa4985250b0e853df602543bcfc4c,val
0bb4ccafa5d379d1990d63f383aaedb5b9afc20c645b5c44c341c5f1830d2f60,train
0bc2d9fb49e799400228c158b9f249718b233abd8ddb0119bcff7147afe9625e,train
0c60f73b8a53db0c38c378e8cd926a45c5b8535fe25a5e1913c582f55d675171,test
0c7dc7594dfcb4e5bdea29a3443b2f161722f4b028de8652027c6618ea48bd3c,train
0cabcec42e875f6834bf53ec914e57e413f7c85986088156335ff99164f5130a,train
0cee21d825743e43882c9459edf8e80a97f418f062b74b2f5af21e968061fe69,train
0cfc14246e806662692f482ba04b6fabf1fdd356ee93013e24f92b9b4bc499f0,train
0d4530ea2820b5a6b0f55b9065b7c1d36a5b55de52dd2ef8b184f4342bd5b6de,train
0df23fc10e364da0ad5a38a066708d9a2e1f444d6e304b47592a27edef31b66b,train
0e0beec3ba9024873f6db00e91ff1fb66688e48b5ff16d544a01e27a432830dc,test
0eb27011f27b6c0d02d714cb6fdf7c20242d91296474e5c65e2ed2149aad27e8,train
0f1f0036f56a359f63792d4c1a75d391f093735899327b4e20120eacc87e0831,train
0f4aed2ea7748aa8b80fe3e0727d8250f9163027ee9c61a6c867cec03890f2fd,val
0f55012a9b27c0e11a6ff77df4c8655d0da3b93002ef1937fa0610c546f44f8f,test
0f6f123646674f21a6ed1938f5d29c64b518814899d47e6dfb72d3edd351b9bb,train
0fb48aec37937bc190afd09da1be3655901174e95334d538f49623dc37d80a98,train
0fc1c0c988fb8018a223e8b0ffcd945072167b95e1aa93a6fdc98e5c9aeab530,train
0ffe2d036c446ea61ba360c25dc6680003a4fcb7a42eb936e7ce179526fd77d0,train
1027e6c8ee3dd59c00cb08e2f341119ade01890d1bfda96a9da8ad562e4abfbd,train
102ec445b0cc3eb30ce78db92ef9e08831d8a0cc4f2f3e78fb3bd4aef208d097,val
