endpoint,batch_size,depth,message_hidden_dim,dropout,ffn_hidden_dim,ffn_num_layers,embed_dim,encoder_heads,fp_groups,warmup_epochs,init_lr,max_lr,final_lr,gotennet_cutoff,gotennet_pooling,gotennet_lr_scale
Bioavailability,16,3,600,0.25,512,1,128,4,64,4,7.1401127652128146e-06,6.105981923735302e-05,4.087134737005474e-06,5.0,mean_max,0.1
HIA,16,4,600,0.35,512,1,128,4,128,3,2.734014902403846e-05,0.0002743307753034183,2.4510845842117865e-05,5.0,mean,0.3
P-gp,16,3,300,0.30,512,1,128,4,128,3,4.008094960916676e-06,9.95475904375018e-05,4.981727260187203e-06,5.0,mean,0.3
BBB,32,3,600,0.30,300,2,128,4,128,2,1.1353451907699788e-05,0.00012839847326348127,1.3304215578499564e-05,4.0,mean_max,0.1
VDss,16,3,600,0.30,300,2,128,4,64,2,1.5181335927580785e-05,0.00027374464313773076,2.5060251866080303e-05,4.0,mean,0.3
CYP2C9 substrate,16,3,300,0.25,512,1,128,8,128,2,1.60468978727485e-05,0.0003950550037640316,1.5899663166392238e-05,4.0,mean,0.3
CYP2D6 substrate,16,3,300,0.20,512,2,128,4,64,4,9.26344270189843e-06,0.00012843964063896302,1.3758782505545149e-05,4.0,mean,0.3
CYP3A4 Veith,16,4,300,0.30,512,2,128,4,128,3,5.102453113623927e-06,5.093376760668415e-05,2.391880327113728e-06,4.0,mean_max,0.1
Hepatocyte clearance,16,3,300,0.25,512,1,128,8,128,2,1.493460863132517e-05,0.00035951314235898164,1.4712416631286546e-05,4.0,mean,0.3
Microsome clearance,16,4,300,0.25,512,2,128,8,128,4,1.15438140328106e-05,0.00025343003758733187,2.0475664266693097e-05,4.0,mean_max,0.3
hERG,32,4,300,0.20,300,2,128,8,64,4,5.778701479390874e-06,6.576507718814309e-05,3.6152399183930524e-06,5.0,mean_max,0.1
LD50,16,4,300,0.30,512,2,128,4,128,2,2.568424808946074e-05,0.00023737359280224745,2.8216672866101157e-05,5.0,mean_max,0.1
