number,value,datetime_start,datetime_complete,duration,params_batch_size,params_depth,params_dropout,params_ffn_hidden_dim,params_ffn_num_layers,params_final_lr_ratio,params_gotennet_cutoff,params_gotennet_lr_scale,params_gotennet_pooling,params_init_lr_ratio,params_max_lr,params_message_hidden_dim,params_warmup_epochs,params_x_d_embed_dim,params_x_d_encoder_heads,params_x_d_fp_groups,user_attrs_params_json,user_attrs_per_seed_values,state
0,0.5430832862854004,2026-06-23 01:42:46.550872,2026-06-23 01:50:22.372166,0 days 00:07:35.821294,16,4,0.35,512,2,0.07756239476796357,5.0,0.1,mean_max,0.08775907543295038,0.00015653014388703845,300,3,128,4,128,"{""batch_size"": 16, ""depth"": 4, ""dropout"": 0.35, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 2, ""final_lr"": 1.2140852813252617e-05, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 1.3736940704913184e-05, ""max_lr"": 0.00015653014388703845, ""message_hidden_dim"": 300, ""warmup_epochs"": 3, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 128}","[0.5502556562423706, 0.5905151963233948, 0.4035402536392212, 0.4862344861030578, 0.6848708391189575]",COMPLETE
1,0.5846703708171844,2026-06-23 01:50:22.381166,2026-06-23 01:57:10.164819,0 days 00:06:47.783653,16,4,0.25,512,2,0.08079414919250522,4.0,0.3,mean_max,0.04555029917806253,0.00025343003758733187,300,4,128,8,128,"{""batch_size"": 16, ""depth"": 4, ""dropout"": 0.25, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 2, ""final_lr"": 2.0475664266693097e-05, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.3, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 1.15438140328106e-05, ""max_lr"": 0.00025343003758733187, ""message_hidden_dim"": 300, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 128}","[0.6059386730194092, 0.639967143535614, 0.4771502315998077, 0.5254805684089661, 0.6748152375221252]",COMPLETE
2,0.529543673992157,2026-06-23 01:57:10.171818,2026-06-23 02:03:15.534836,0 days 00:06:05.363018,32,4,0.2,512,1,0.05656627257155115,4.0,0.1,mean_max,0.04608647251321383,7.74398296013482e-05,300,4,128,8,64,"{""batch_size"": 32, ""depth"": 4, ""dropout"": 0.2, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 1, ""final_lr"": 4.3804825091243375e-06, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 3.5689285783504967e-06, ""max_lr"": 7.74398296013482e-05, ""message_hidden_dim"": 300, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 64}","[0.5040618777275085, 0.5835407376289368, 0.4754750728607178, 0.423728883266449, 0.6609117984771729]",COMPLETE
3,0.5425707697868347,2026-06-23 02:03:15.540836,2026-06-23 02:10:02.919342,0 days 00:06:47.378506,16,3,0.25,512,1,0.06693656791085276,5.0,0.1,mean_max,0.11693635609135392,6.105981923735302e-05,600,4,128,4,64,"{""batch_size"": 16, ""depth"": 3, ""dropout"": 0.25, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 1, ""final_lr"": 4.087134737005474e-06, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 7.1401127652128146e-06, ""max_lr"": 6.105981923735302e-05, ""message_hidden_dim"": 600, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 64}","[0.5504849553108215, 0.585853636264801, 0.4654856920242309, 0.4506667852401733, 0.6603627800941467]",COMPLETE
4,0.5384557723999024,2026-06-23 02:10:02.925342,2026-06-23 02:17:28.758019,0 days 00:07:25.832677,32,4,0.2,300,2,0.0549720318589522,5.0,0.1,mean_max,0.08786884660469503,6.576507718814309e-05,300,4,128,8,64,"{""batch_size"": 32, ""depth"": 4, ""dropout"": 0.2, ""ffn_hidden_dim"": 300, ""ffn_num_layers"": 2, ""final_lr"": 3.6152399183930524e-06, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 5.778701479390874e-06, ""max_lr"": 6.576507718814309e-05, ""message_hidden_dim"": 300, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 64}","[0.5438839793205261, 0.5730410218238831, 0.4637797772884369, 0.4506843984127044, 0.6608896851539612]",COMPLETE
5,0.5635891199111939,2026-06-23 02:17:28.764019,2026-06-23 02:24:20.670906,0 days 00:06:51.906887,16,4,0.35,512,2,0.07575261574353705,4.0,0.1,mean_max,0.10530598488557939,0.00011403820393151987,300,3,128,4,128,"{""batch_size"": 16, ""depth"": 4, ""dropout"": 0.35, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 2, ""final_lr"": 8.638692242507541e-06, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 1.2008905379591252e-05, ""max_lr"": 0.00011403820393151987, ""message_hidden_dim"": 300, ""warmup_epochs"": 3, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 128}","[0.5829123258590698, 0.5957270264625549, 0.4558612704277038, 0.4872300624847412, 0.6962149143218994]",COMPLETE
6,0.5679798424243927,2026-06-23 02:24:20.676689,2026-06-23 02:31:02.004066,0 days 00:06:41.327377,16,4,0.30000000000000004,300,2,0.1071078811605412,5.0,0.1,mean,0.06425381174844887,0.00019403404522845276,600,4,128,8,128,"{""batch_size"": 16, ""depth"": 4, ""dropout"": 0.30000000000000004, ""ffn_hidden_dim"": 300, ""ffn_num_layers"": 2, ""final_lr"": 2.078257545742819e-05, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean"", ""init_lr"": 1.2467427014899017e-05, ""max_lr"": 0.00019403404522845276, ""message_hidden_dim"": 600, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 128}","[0.5935391783714294, 0.5975522994995117, 0.4431459307670593, 0.4945383369922638, 0.7111234664916992]",COMPLETE
7,0.5651144862174988,2026-06-23 02:31:02.010063,2026-06-23 02:37:28.020816,0 days 00:06:26.010753,32,3,0.30000000000000004,300,2,0.1036166181758137,4.0,0.1,mean_max,0.08842357404360901,0.00012839847326348127,600,2,128,4,128,"{""batch_size"": 32, ""depth"": 3, ""dropout"": 0.30000000000000004, ""ffn_hidden_dim"": 300, ""ffn_num_layers"": 2, ""final_lr"": 1.3304215578499564e-05, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 1.1353451907699788e-05, ""max_lr"": 0.00012839847326348127, ""message_hidden_dim"": 600, ""warmup_epochs"": 2, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 128}","[0.6066353917121887, 0.6189721822738647, 0.4384766221046448, 0.4672303795814514, 0.6942578554153442]",COMPLETE
8,0.5711521089076996,2026-06-23 02:37:28.027361,2026-06-23 02:43:06.137753,0 days 00:05:38.110392,32,4,0.2,300,1,0.07204797623653346,5.0,0.3,mean,0.07852287614241282,0.0003488585019780636,600,4,128,8,128,"{""batch_size"": 32, ""depth"": 4, ""dropout"": 0.2, ""ffn_hidden_dim"": 300, ""ffn_num_layers"": 1, ""final_lr"": 2.513454906042819e-05, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.3, ""gotennet_pooling"": ""mean"", ""init_lr"": 2.739337294205117e-05, ""max_lr"": 0.0003488585019780636, ""message_hidden_dim"": 600, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 128}","[0.591823935508728, 0.6403428912162781, 0.4394614994525909, 0.5146613717079163, 0.6694708466529846]",COMPLETE
9,0.5794870793819428,2026-06-23 02:43:06.143755,2026-06-23 02:49:55.630257,0 days 00:06:49.486502,16,3,0.2,512,2,0.10712255528821008,4.0,0.3,mean,0.07212292603603178,0.00012843964063896302,300,4,128,4,64,"{""batch_size"": 16, ""depth"": 3, ""dropout"": 0.2, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 2, ""final_lr"": 1.3758782505545149e-05, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.3, ""gotennet_pooling"": ""mean"", ""init_lr"": 9.26344270189843e-06, ""max_lr"": 0.00012843964063896302, ""message_hidden_dim"": 300, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 64}","[0.6132011413574219, 0.598473846912384, 0.4711662828922272, 0.5037496089935303, 0.7108445167541504]",COMPLETE
