number,value,datetime_start,datetime_complete,duration,params_batch_size,params_depth,params_dropout,params_ffn_hidden_dim,params_ffn_num_layers,params_final_lr_ratio,params_gotennet_cutoff,params_gotennet_lr_scale,params_gotennet_pooling,params_init_lr_ratio,params_max_lr,params_message_hidden_dim,params_warmup_epochs,params_x_d_embed_dim,params_x_d_encoder_heads,params_x_d_fp_groups,user_attrs_params_json,user_attrs_per_seed_values,state
0,0.6697836279869079,2026-06-19 23:12:23.055427,2026-06-19 23:17:24.936156,0 days 00:05:01.880729,16,4,0.35,512,2,0.07756239476796357,5.0,0.1,mean_max,0.08775907543295038,0.00015653014388703845,300,3,128,4,128,"{""batch_size"": 16, ""depth"": 4, ""dropout"": 0.35, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 2, ""final_lr"": 1.2140852813252617e-05, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 1.3736940704913184e-05, ""max_lr"": 0.00015653014388703845, ""message_hidden_dim"": 300, ""warmup_epochs"": 3, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 128}","[0.7052154541015625, 0.6257575750350952, 0.6835294365882874, 0.5795454978942871, 0.7548701763153076]",COMPLETE
1,0.6939403176307678,2026-06-19 23:17:24.942698,2026-06-19 23:20:09.411117,0 days 00:02:44.468419,16,4,0.25,512,2,0.08079414919250522,4.0,0.3,mean_max,0.04555029917806253,0.00025343003758733187,300,4,128,8,128,"{""batch_size"": 16, ""depth"": 4, ""dropout"": 0.25, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 2, ""final_lr"": 2.0475664266693097e-05, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.3, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 1.15438140328106e-05, ""max_lr"": 0.00025343003758733187, ""message_hidden_dim"": 300, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 128}","[0.7086167335510254, 0.668181836605072, 0.6870588064193726, 0.6152597665786743, 0.7905844449996948]",COMPLETE
2,0.6455459356307983,2026-06-19 23:20:09.416232,2026-06-19 23:23:18.464706,0 days 00:03:09.048474,32,4,0.2,512,1,0.05656627257155115,4.0,0.1,mean_max,0.04608647251321383,7.74398296013482e-05,300,4,128,8,64,"{""batch_size"": 32, ""depth"": 4, ""dropout"": 0.2, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 1, ""final_lr"": 4.3804825091243375e-06, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 3.5689285783504967e-06, ""max_lr"": 7.74398296013482e-05, ""message_hidden_dim"": 300, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 64}","[0.6780045628547668, 0.586363673210144, 0.6776471138000488, 0.5259740352630615, 0.7597402930259705]",COMPLETE
3,0.6568157792091369,2026-06-19 23:23:18.470206,2026-06-19 23:26:32.060634,0 days 00:03:13.590428,16,3,0.25,512,1,0.06693656791085276,5.0,0.1,mean_max,0.11693635609135392,6.105981923735302e-05,600,4,128,4,64,"{""batch_size"": 16, ""depth"": 3, ""dropout"": 0.25, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 1, ""final_lr"": 4.087134737005474e-06, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 7.1401127652128146e-06, ""max_lr"": 6.105981923735302e-05, ""message_hidden_dim"": 600, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 64}","[0.6179138422012329, 0.5909091234207153, 0.6694117784500122, 0.6266233921051025, 0.7792207598686218]",COMPLETE
4,0.6519836902618408,2026-06-19 23:26:32.066153,2026-06-19 23:30:06.463777,0 days 00:03:34.397624,32,4,0.2,300,2,0.0549720318589522,5.0,0.1,mean_max,0.08786884660469503,6.576507718814309e-05,300,4,128,8,64,"{""batch_size"": 32, ""depth"": 4, ""dropout"": 0.2, ""ffn_hidden_dim"": 300, ""ffn_num_layers"": 2, ""final_lr"": 3.6152399183930524e-06, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 5.778701479390874e-06, ""max_lr"": 6.576507718814309e-05, ""message_hidden_dim"": 300, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 64}","[0.6235827803611755, 0.5833333730697632, 0.7023529410362244, 0.5113636255264282, 0.8392857313156128]",COMPLETE
5,0.6638333082199097,2026-06-19 23:30:06.474537,2026-06-19 23:33:00.958454,0 days 00:02:54.483917,16,4,0.35,512,2,0.07575261574353705,4.0,0.1,mean_max,0.10530598488557939,0.00011403820393151987,300,3,128,4,128,"{""batch_size"": 16, ""depth"": 4, ""dropout"": 0.35, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 2, ""final_lr"": 8.638692242507541e-06, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 1.2008905379591252e-05, ""max_lr"": 0.00011403820393151987, ""message_hidden_dim"": 300, ""warmup_epochs"": 3, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 128}","[0.6530612707138062, 0.6303030252456665, 0.6835294365882874, 0.5714285969734192, 0.7808442115783691]",COMPLETE
6,0.6781407713890075,2026-06-19 23:33:00.963599,2026-06-19 23:35:39.813988,0 days 00:02:38.850389,16,4,0.30000000000000004,300,2,0.1071078811605412,5.0,0.1,mean,0.06425381174844887,0.00019403404522845276,600,4,128,8,128,"{""batch_size"": 16, ""depth"": 4, ""dropout"": 0.30000000000000004, ""ffn_hidden_dim"": 300, ""ffn_num_layers"": 2, ""final_lr"": 2.078257545742819e-05, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean"", ""init_lr"": 1.2467427014899017e-05, ""max_lr"": 0.00019403404522845276, ""message_hidden_dim"": 600, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 128}","[0.6995465159416199, 0.6181818246841431, 0.6882352828979492, 0.576298713684082, 0.8084415197372437]",COMPLETE
7,0.6804213762283325,2026-06-19 23:35:39.819190,2026-06-19 23:38:17.421069,0 days 00:02:37.601879,32,3,0.30000000000000004,300,2,0.1036166181758137,4.0,0.1,mean_max,0.08842357404360901,0.00012839847326348127,600,2,128,4,128,"{""batch_size"": 32, ""depth"": 3, ""dropout"": 0.30000000000000004, ""ffn_hidden_dim"": 300, ""ffn_num_layers"": 2, ""final_lr"": 1.3304215578499564e-05, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 1.1353451907699788e-05, ""max_lr"": 0.00012839847326348127, ""message_hidden_dim"": 600, ""warmup_epochs"": 2, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 128}","[0.6780045032501221, 0.6000000238418579, 0.7117646932601929, 0.5892857313156128, 0.823051929473877]",COMPLETE
8,0.6905595183372497,2026-06-19 23:38:17.427068,2026-06-19 23:40:41.962943,0 days 00:02:24.535875,32,4,0.2,300,1,0.07204797623653346,5.0,0.3,mean,0.07852287614241282,0.0003488585019780636,600,4,128,8,128,"{""batch_size"": 32, ""depth"": 4, ""dropout"": 0.2, ""ffn_hidden_dim"": 300, ""ffn_num_layers"": 1, ""final_lr"": 2.513454906042819e-05, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.3, ""gotennet_pooling"": ""mean"", ""init_lr"": 2.739337294205117e-05, ""max_lr"": 0.0003488585019780636, ""message_hidden_dim"": 600, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 128}","[0.7029478549957275, 0.6469696760177612, 0.703529417514801, 0.6168831586837769, 0.7824674844741821]",COMPLETE
9,0.6765846729278564,2026-06-19 23:40:41.969206,2026-06-19 23:43:18.351200,0 days 00:02:36.381994,16,3,0.2,512,2,0.10712255528821008,4.0,0.3,mean,0.07212292603603178,0.00012843964063896302,300,4,128,4,64,"{""batch_size"": 16, ""depth"": 3, ""dropout"": 0.2, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 2, ""final_lr"": 1.3758782505545149e-05, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.3, ""gotennet_pooling"": ""mean"", ""init_lr"": 9.26344270189843e-06, ""max_lr"": 0.00012843964063896302, ""message_hidden_dim"": 300, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 64}","[0.6882085800170898, 0.6757575869560242, 0.6894117593765259, 0.5551947951316833, 0.774350643157959]",COMPLETE
