number,value,datetime_start,datetime_complete,duration,params_batch_size,params_depth,params_dropout,params_ffn_hidden_dim,params_ffn_num_layers,params_final_lr_ratio,params_gotennet_cutoff,params_gotennet_lr_scale,params_gotennet_pooling,params_init_lr_ratio,params_max_lr,params_message_hidden_dim,params_warmup_epochs,params_x_d_embed_dim,params_x_d_encoder_heads,params_x_d_fp_groups,user_attrs_params_json,user_attrs_per_seed_values,state
0,0.9634216547012329,2026-06-22 04:30:00.244510,2026-06-22 05:37:46.346599,0 days 01:07:46.102089,16,4,0.35,512,2,0.07756239476796357,5.0,0.1,mean_max,0.08775907543295038,0.00015653014388703845,300,3,128,4,128,"{""batch_size"": 16, ""depth"": 4, ""dropout"": 0.35, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 2, ""final_lr"": 1.2140852813252617e-05, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 1.3736940704913184e-05, ""max_lr"": 0.00015653014388703845, ""message_hidden_dim"": 300, ""warmup_epochs"": 3, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 128}","[0.960990071296692, 0.9777131676673888, 0.9612082242965698, 0.9475176930427552, 0.9696791172027588]",COMPLETE
1,0.9573836326599121,2026-06-22 05:37:46.356118,2026-06-22 05:42:09.140073,0 days 00:04:22.783955,16,4,0.25,512,2,0.08079414919250522,4.0,0.3,mean_max,0.04555029917806253,0.00025343003758733187,300,4,128,8,128,"{""batch_size"": 16, ""depth"": 4, ""dropout"": 0.25, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 2, ""final_lr"": 2.0475664266693097e-05, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.3, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 1.15438140328106e-05, ""max_lr"": 0.00025343003758733187, ""message_hidden_dim"": 300, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 128}","[0.959644854068756, 0.9699612259864808, 0.9488075971603394, 0.9438297748565674, 0.964674711227417]",COMPLETE
2,0.9568518280982972,2026-06-22 05:42:09.146592,2026-06-22 05:46:58.518926,0 days 00:04:49.372334,32,4,0.2,512,1,0.05656627257155115,4.0,0.1,mean_max,0.04608647251321383,7.74398296013482e-05,300,4,128,8,64,"{""batch_size"": 32, ""depth"": 4, ""dropout"": 0.2, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 1, ""final_lr"": 4.3804825091243375e-06, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 3.5689285783504967e-06, ""max_lr"": 7.74398296013482e-05, ""message_hidden_dim"": 300, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 64}","[0.9642184972763062, 0.9667312502861024, 0.9465819001197816, 0.9441134333610536, 0.9626140594482422]",COMPLETE
3,0.9593006491661071,2026-06-22 05:46:58.526432,2026-06-22 05:52:33.805254,0 days 00:05:35.278822,16,3,0.25,512,1,0.06693656791085276,5.0,0.1,mean_max,0.11693635609135392,6.105981923735302e-05,600,4,128,4,64,"{""batch_size"": 16, ""depth"": 3, ""dropout"": 0.25, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 1, ""final_lr"": 4.087134737005474e-06, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 7.1401127652128146e-06, ""max_lr"": 6.105981923735302e-05, ""message_hidden_dim"": 600, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 64}","[0.9566854238510132, 0.9748061895370485, 0.952305257320404, 0.9495035409927368, 0.9632028341293336]",COMPLETE
4,0.9545070648193359,2026-06-22 05:52:33.811258,2026-06-22 05:57:36.984970,0 days 00:05:03.173712,32,4,0.2,300,2,0.0549720318589522,5.0,0.1,mean_max,0.08786884660469503,6.576507718814309e-05,300,4,128,8,64,"{""batch_size"": 32, ""depth"": 4, ""dropout"": 0.2, ""ffn_hidden_dim"": 300, ""ffn_num_layers"": 2, ""final_lr"": 3.6152399183930524e-06, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 5.778701479390874e-06, ""max_lr"": 6.576507718814309e-05, ""message_hidden_dim"": 300, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 64}","[0.9620661735534668, 0.9651162624359132, 0.9265501499176024, 0.9517730474472046, 0.9670296907424928]",COMPLETE
5,0.9599292993545532,2026-06-22 05:57:36.990977,2026-06-22 06:02:27.475574,0 days 00:04:50.484597,16,4,0.35,512,2,0.07575261574353705,4.0,0.1,mean_max,0.10530598488557939,0.00011403820393151987,300,3,128,4,128,"{""batch_size"": 16, ""depth"": 4, ""dropout"": 0.35, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 2, ""final_lr"": 8.638692242507541e-06, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 1.2008905379591252e-05, ""max_lr"": 0.00011403820393151987, ""message_hidden_dim"": 300, ""warmup_epochs"": 3, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 128}","[0.9593758583068848, 0.9780361652374268, 0.9516693353652954, 0.9438297748565674, 0.9667353630065918]",COMPLETE
6,0.9603438973426819,2026-06-22 06:02:27.481084,2026-06-22 06:06:58.878316,0 days 00:04:31.397232,16,4,0.30000000000000004,300,2,0.1071078811605412,5.0,0.1,mean,0.06425381174844887,0.00019403404522845276,600,4,128,8,128,"{""batch_size"": 16, ""depth"": 4, ""dropout"": 0.30000000000000004, ""ffn_hidden_dim"": 300, ""ffn_num_layers"": 2, ""final_lr"": 2.078257545742819e-05, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean"", ""init_lr"": 1.2467427014899017e-05, ""max_lr"": 0.00019403404522845276, ""message_hidden_dim"": 600, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 128}","[0.9599138498306274, 0.9748061895370485, 0.955802857875824, 0.9426950216293336, 0.9685015678405762]",COMPLETE
7,0.9582098484039306,2026-06-22 06:06:58.884313,2026-06-22 06:11:16.207429,0 days 00:04:17.323116,32,3,0.30000000000000004,300,2,0.1036166181758137,4.0,0.1,mean_max,0.08842357404360901,0.00012839847326348127,600,2,128,4,128,"{""batch_size"": 32, ""depth"": 3, ""dropout"": 0.30000000000000004, ""ffn_hidden_dim"": 300, ""ffn_num_layers"": 2, ""final_lr"": 1.3304215578499564e-05, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.1, ""gotennet_pooling"": ""mean_max"", ""init_lr"": 1.1353451907699788e-05, ""max_lr"": 0.00012839847326348127, ""message_hidden_dim"": 600, ""warmup_epochs"": 2, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 128}","[0.9574925899505616, 0.9706072807312012, 0.9481717348098756, 0.949219822883606, 0.9655578136444092]",COMPLETE
8,0.9599942207336426,2026-06-22 06:11:16.213943,2026-06-22 06:15:07.337330,0 days 00:03:51.123387,32,4,0.2,300,1,0.07204797623653346,5.0,0.3,mean,0.07852287614241282,0.0003488585019780636,600,4,128,8,128,"{""batch_size"": 32, ""depth"": 4, ""dropout"": 0.2, ""ffn_hidden_dim"": 300, ""ffn_num_layers"": 1, ""final_lr"": 2.513454906042819e-05, ""gotennet_cutoff"": 5.0, ""gotennet_lr_scale"": 0.3, ""gotennet_pooling"": ""mean"", ""init_lr"": 2.739337294205117e-05, ""max_lr"": 0.0003488585019780636, ""message_hidden_dim"": 600, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 8, ""x_d_fp_groups"": 128}","[0.9634113311767578, 0.9799741506576538, 0.9513514041900636, 0.9446808099746704, 0.9605534076690674]",COMPLETE
9,0.9595986127853393,2026-06-22 06:15:07.343840,2026-06-22 06:19:09.747220,0 days 00:04:02.403380,16,3,0.2,512,2,0.10712255528821008,4.0,0.3,mean,0.07212292603603178,0.00012843964063896302,300,4,128,4,64,"{""batch_size"": 16, ""depth"": 3, ""dropout"": 0.2, ""ffn_hidden_dim"": 512, ""ffn_num_layers"": 2, ""final_lr"": 1.3758782505545149e-05, ""gotennet_cutoff"": 4.0, ""gotennet_lr_scale"": 0.3, ""gotennet_pooling"": ""mean"", ""init_lr"": 9.26344270189843e-06, ""max_lr"": 0.00012843964063896302, ""message_hidden_dim"": 300, ""warmup_epochs"": 4, ""x_d_embed_dim"": 128, ""x_d_encoder_heads"": 4, ""x_d_fp_groups"": 64}","[0.9661017656326294, 0.9720606803894044, 0.9468998908996582, 0.9435460567474364, 0.9693846702575684]",COMPLETE
