"endpoint","task","task_type","trials","earliest_trial","latest_trial","best_trial","best_value","best_params_sha256","study_db_sha256"
"Bioavailability","bioavailability_ma","classification","20","2026-06-19 22:08:20","2026-06-19 23:08:20","3","0.7666144132614136","F352C20E9DD22F0CE00AD8BACA16D36F1C32DD0DF0BC155EC2AA12471FC8EBFA","4013D6225766D60F4F96117DD76F38F8ECD2E07B0CAB9339FCBB33B9A71EB326"
"HIA","hia_hou","classification","20","2026-06-22 02:41:13","2026-06-22 04:25:43","13","0.9973715543746948","D8AADD302C3B42BF5D2527FDCB0762266535C98B86DABF970F29C96B11BD1BD7","AE1DFA68B75D74B9221141FC0383EB3BEB35FD157D0889E5B0B6B77DF7C9AB4B"
"P-gp","pgp_broccatelli","classification","20","2026-06-22 04:30:00","2026-06-22 07:03:54","13","0.9640310525894165","FE8853332084B6413A3130C8424EDAE1C2BA46494436C0163E893F30A7C34685","8ECD2B634B5FB5FDDCBB29F57BC8968D048B304F1CB03CC513724CB246A362E2"
"BBB","bbb_martins","classification","20","2026-06-19 19:45:11","2026-06-19 22:00:29","7","0.9294309139251709","B08237FE0A533CC40081A6902EFD3A9F356D8841884D9EDF921282140894B1D5","0E0217666F09017B4C513F0B107D9298B0A96C9E5EDCF472ACD11848D9D4D058"
"CYP2C9 substrate","cyp2c9_substrate_carbonmangels","classification","20","2026-06-19 23:12:23","2026-06-20 00:07:23","11","0.6989452958106994","FAB303473AAA6F2F7F381EAC597E6ACB3300A93DD458D9EAF74BBFA5CA1C4A1E","11FEA7027CEE08407C82C29FF5CEBCFC014F4508273997D74C6601CAC28E6799"
"CYP2D6 substrate","cyp2d6_substrate_carbonmangels","classification","20","2026-06-20 17:29:58","2026-06-20 18:26:32","9","0.7894011974334717","172D5E821E121E9790C84FC33491525D1E24629F6F95859AD4745A4D7A53EDC1","06F3BECD57F97191A77D0ED21AC04DA6EA027018B79828670854F0D89191F6A3"
"CYP3A4 Veith","cyp3a4_veith","classification","20","2026-06-21 09:47:11","2026-06-21 23:30:02","15","0.8888468503952026","81B1503B7986BAEBE880CE3D2493E3F658249664E2A50C6639804EA181024CDF","40BFA1336B029C9A102720B5B65ABF23B3B1F18C13B83B8E7A5E35956C68114B"
"hERG","herg","classification","20","2026-06-22 01:10:57","2026-06-22 02:36:46","4","0.8966207027435302","2CF31892377C5DB1DA595938484F99DA4B080C9D8AF861E62D6773490D986879","63638B753F2A1CF09E319D3493AA59B8F7766A1A4FC7B8CC143EA131F857ECA4"
"VDss","vdss_lombardo","regression","20","2026-06-22 20:46:50","2026-06-22 22:27:32","16","0.6409265995025635","70B8336D4B1BA6E2F6043AB25857D61012B8153081D9CE6CF7F6E00D3E8D79D6","C4B121A3442E97F6A3A9B687F5B854A3321DE1319F4F9BAFC3A6C332DB732FA6"
"Hepatocyte clearance","clearance_hepatocyte_az","regression","20","2026-06-22 23:38:36","2026-06-23 01:36:50","10","0.43012667298316953","7648D422E9308A44E661750EECE5BBC822F256F3431213EAF13C438ADFD8C052","5310FA4F7FAB5A39DA0850B7518080B48E88BE502598824AF73CCC4599E443C5"
"Microsome clearance","clearance_microsome_az","regression","20","2026-06-23 01:42:46","2026-06-23 03:51:57","1","0.5846703708171844","3BC4307F98F214757F41A2980E4F6E2297F8DC98547B1E7B5328AA34222C2626","A58A9EE5DEF2404D612684E20AB8AC2D5CBB8A52C7080C56F1134D0FE5B0681D"
"LD50","ld50_zhu","regression","20","2026-06-23 04:01:56","2026-06-23 11:46:41","19","0.5701793491840362","60B6D1118563CC6E6566AADD32D1898AD934154C295A2B3B9FD9E62628DC3ED4","5968473D15F8F8DB537A9919800FE38B9310463752FB575A101B45E180F70C25"
