"endpoint","task","batch_size","depth","message_hidden_dim","dropout","ffn_hidden_dim","ffn_num_layers","embed_dim","encoder_heads","fp_groups","warmup_epochs","init_lr","max_lr","final_lr","gotennet_cutoff","gotennet_pooling","gotennet_lr_scale","best_trial","best_value"
"Bioavailability","bioavailability_ma","16","3","600","0.25","512","1","128","4","64","4","7.14011276521281E-06","6.1059819237353E-05","4.08713473700547E-06","5.0","mean_max","0.1","3","0.7666144132614136"
"HIA","hia_hou","16","4","600","0.35","512","1","128","4","128","3","2.73401490240385E-05","0.0002743307753034183","2.45108458421179E-05","5.0","mean","0.3","13","0.9973715543746948"
"P-gp","pgp_broccatelli","16","3","300","0.30000000000000004","512","1","128","4","128","3","4.00809496091668E-06","9.95475904375018E-05","4.9817272601872E-06","5.0","mean","0.3","13","0.9640310525894165"
"BBB","bbb_martins","32","3","600","0.30000000000000004","300","2","128","4","128","2","1.13534519076998E-05","0.00012839847326348127","1.33042155784996E-05","4.0","mean_max","0.1","7","0.9294309139251709"
"CYP2C9 substrate","cyp2c9_substrate_carbonmangels","16","3","300","0.25","512","1","128","8","128","2","1.60468978727485E-05","0.0003950550037640316","1.58996631663922E-05","4.0","mean","0.3","11","0.6989452958106994"
"CYP2D6 substrate","cyp2d6_substrate_carbonmangels","16","3","300","0.2","512","2","128","4","64","4","9.26344270189843E-06","0.00012843964063896302","1.37587825055451E-05","4.0","mean","0.3","9","0.7894011974334717"
"CYP3A4 Veith","cyp3a4_veith","16","4","300","0.30000000000000004","512","2","128","4","128","3","5.10245311362393E-06","5.09337676066841E-05","2.39188032711373E-06","4.0","mean_max","0.1","15","0.8888468503952026"
"hERG","herg","32","4","300","0.2","300","2","128","8","64","4","5.77870147939087E-06","6.57650771881431E-05","3.61523991839305E-06","5.0","mean_max","0.1","4","0.8966207027435302"
"VDss","vdss_lombardo","16","3","600","0.30000000000000004","300","2","128","4","64","2","1.51813359275808E-05","0.00027374464313773076","2.50602518660803E-05","4.0","mean","0.3","16","0.6409265995025635"
"Hepatocyte clearance","clearance_hepatocyte_az","16","3","300","0.25","512","1","128","8","128","2","1.49346086313252E-05","0.00035951314235898164","1.47124166312865E-05","4.0","mean","0.3","10","0.43012667298316953"
"Microsome clearance","clearance_microsome_az","16","4","300","0.25","512","2","128","8","128","4","1.15438140328106E-05","0.00025343003758733187","2.04756642666931E-05","4.0","mean_max","0.3","1","0.5846703708171844"
"LD50","ld50_zhu","16","4","300","0.30000000000000004","512","2","128","4","128","2","2.56842480894607E-05","0.00023737359280224745","2.82166728661012E-05","5.0","mean_max","0.1","19","0.5701793491840362"
