endpoint,task,task_type,variant,primary_metric,mean,std,seeds,source_device
Bioavailability,bioavailability_ma,classification,concat,roc,0.651413368806119,0.04662326182460194,5,local_development_and_ablation
Bioavailability,bioavailability_ma,classification,without_geometric,roc,0.6311273694712338,0.04333180368650746,5,local_development_and_ablation
Bioavailability,bioavailability_ma,classification,without_semantic,roc,0.634785500498836,0.02157105612304566,5,local_development_and_ablation
Bioavailability,bioavailability_ma,classification,without_topological,roc,0.668506817426006,0.040994706813905775,5,local_development_and_ablation
HIA,hia_hou,classification,concat,roc,0.962798353909465,0.01606225082946816,5,local_development_and_ablation
HIA,hia_hou,classification,without_geometric,roc,0.9702057613168723,0.0085477916938055815,5,local_development_and_ablation
HIA,hia_hou,classification,without_semantic,roc,0.9602469135802469,0.009980929842670504,5,local_development_and_ablation
HIA,hia_hou,classification,without_topological,roc,0.9676543209876544,0.0057882966164665775,5,local_development_and_ablation
P-gp,pgp_broccatelli,classification,concat,roc,0.9201146360970407,0.008015908736666733,5,local_development_and_ablation
P-gp,pgp_broccatelli,classification,without_geometric,roc,0.9112370034657424,0.007678160820955446,5,local_development_and_ablation
P-gp,pgp_broccatelli,classification,without_semantic,roc,0.9083577712609971,0.005677453054742777,5,local_development_and_ablation
P-gp,pgp_broccatelli,classification,without_topological,roc,0.9147427352705945,0.010536378545256932,5,local_development_and_ablation
BBB,bbb_martins,classification,concat,roc,0.8689285714285713,0.017950939376249777,5,local_development_and_ablation
BBB,bbb_martins,classification,without_geometric,roc,0.85555,0.02312299191501913,5,local_development_and_ablation
BBB,bbb_martins,classification,without_semantic,roc,0.8316214285714285,0.052283619200804106,5,local_development_and_ablation
BBB,bbb_martins,classification,without_topological,roc,0.8684,0.019621955112806188,5,local_development_and_ablation
CYP2C9 substrate,cyp2c9_substrate_carbonmangels,classification,concat,roc,0.6171459576776994,0.011930151407324415,5,local_development_and_ablation
CYP2C9 substrate,cyp2c9_substrate_carbonmangels,classification,without_geometric,roc,0.6381985892566469,0.020002210880467802,5,local_development_and_ablation
CYP2C9 substrate,cyp2c9_substrate_carbonmangels,classification,without_semantic,roc,0.6336950623982638,0.02598473883269547,5,local_development_and_ablation
CYP2C9 substrate,cyp2c9_substrate_carbonmangels,classification,without_topological,roc,0.6129137276180141,0.030092869006498088,5,local_development_and_ablation
CYP2D6 substrate,cyp2d6_substrate_carbonmangels,classification,concat,roc,0.8198924731182794,0.010177450701716818,5,local_development_and_ablation
CYP2D6 substrate,cyp2d6_substrate_carbonmangels,classification,without_geometric,roc,0.8211632453567936,0.026703130214472844,5,local_development_and_ablation
CYP2D6 substrate,cyp2d6_substrate_carbonmangels,classification,without_semantic,roc,0.7658357771260997,0.01501324350778483,5,local_development_and_ablation
CYP2D6 substrate,cyp2d6_substrate_carbonmangels,classification,without_topological,roc,0.8240957966764417,0.006501407412725911,5,local_development_and_ablation
CYP3A4 Veith,cyp3a4_veith,classification,concat,roc,0.8624871711031183,0.0066286113076618565,5,local_development_and_ablation
CYP3A4 Veith,cyp3a4_veith,classification,without_geometric,roc,0.8583702463014742,0.007840202633357905,5,local_development_and_ablation
CYP3A4 Veith,cyp3a4_veith,classification,without_semantic,roc,0.8875860320171898,0.004609354927606496,5,local_development_and_ablation
